gouvernorat,annee_2000,annee_2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,feuille
Manouba,,,,,,,,,3420,2800,2330,2300,1950,1960,2100,2100,3150,Feuil1
Bizerte,,11030.0,4570.0,5190.0,3740.0,6000.0,7000.0,7420.0,3550,7690,7790,3010,6600,5000,6530,9820,4550,Feuil1
Nabeul,28440.0,45000.0,40000.0,41000.0,37500.0,40000.0,38000.0,41130.0,37950,34820,38980,38650,36000,39000,38000,32000,43000,Feuil1
Béja,,,,,,,,,10000,11030,10150,11500,7990,6160,8280,5130,8140,Feuil1
Jendouba,22660.0,36800.0,24160.0,37990.0,25700.0,20600.0,24580.0,23290.0,24790,22660,25430,29940,13000,13200,23440,18180,34500,Feuil1
Sousse,8620.0,9730.0,7180.0,14320.0,8070.0,10500.0,10400.0,11420.0,10620,11940,14030,12320,7170,13830,18330,14980,12420,Feuil1
Monastir,1980.0,2850.0,3090.0,3340.0,1950.0,4130.0,4090.0,3510.0,6750,5500,6680,7230,5050,9840,12180,12990,10620,Feuil1
Sfax,,,,,,,,,7670,3780,6750,6040,4090,7430,4460,3450,3570,Feuil1
Kairouan,,,,,,,,20030.0,16000,11140,11700,9960,8190,13690,15990,12500,17470,Feuil1
Sidi bouzid,,,,,,,,,31060,18640,26960,27900,20600,23000,31000,23130,24100,Feuil1
Gafsa,,,,,,,,,27020,11700,19000,19600,18200,14930,18150,16620,20230,Feuil1
Gabes,,,,,,,,,7400,5050,5110,4240,3160,2810,3000,2880,2940,Feuil1
Tataouine,,,,,,,,3470.0,3270,1530,1730,880,870,1140,1630,530,680,Feuil1
