annee,campagnes,duree_campagne,especes_cibles,nombe_tetes_programmees,nombe_tetes_vaccinees,vaccination,couverture,feuille
2024,الحمى القلاعية,من جانفي إلى جوان,أبقار,19000,16136.0,84.9,80.7,Feuil1
2024,الحمى القلاعية,من جانفي إلى جوان,أغنام وماعز,180000,154650.0,85.9,55.2,Feuil1
2024,الحمى المالطية,_,أغنام وماعز,_,,_,_,Feuil1
2024,مرضى الجدري,من فيفري إلى جويلية,أغنام,350000,130950.0,52.3,52.3,Feuil1
2024,اللسان الأزرق,_,أغنام,_,,_,_,Feuil1
2024,الإجهاض المعدي,من سبتمبر إلى نوفمبر,إناث الأبقار (من سن 4 أشهر),(بالقطاع التقليدي) 1400,160.0,_,0.2,Feuil1
2024,داء الكلب,من نوفمبر 2023 إلى أوت 2024,كلاب,20000,15459.0,77.3,67.2,Feuil1
2024,داء الكلب,حملة تلقيح استثنائية من سبتمبرإلى ديسمبر 2024,كلاب,_,7521.0,100,99.9,Feuil1
2024,داء الكلب,حملة تلقيح استثنائية من سبتمبرإلى ديسمبر 2025,قطط,_,5787.0,_,_,Feuil1
