annee,delegation,terres_labourables_ha,forets_parcours_ha,total_ha,terres_non_agricoles_ha,superficie_totale,feuille
2020,Siliana Nord,29622,8017,37639,1259,38899,Feuil1
2020,Siliana Sud,33204,16473,49677,2272,51950,Feuil1
2020,Bouarada,27880,8911,36791,1910,38701,Feuil1
2020,Gaafour,40077,11010,51087,1040,52128,Feuil1
2020,Lâroussa,23814,5760,29574,1218,30792,Feuil1
2020,El Krib,29235,13473,42708,1958,44666,Feuil1
2020,Bourouis,19942,3074,23016,1725,24741,Feuil1
2020,Makthar,27396,10293,37689,1218,38907,Feuil1
2020,Bargou,22846,18054,40900,3504,44404,Feuil1
2020,Kesra,11520,25974,37494,5175,42668,Feuil1
2020,Rouhia,37464,18457,55921,3224,59144,Feuil1
2020,Gouvernorat,303000,139496,442496,24504,467000,Feuil1
2021,Siliana Nord,29622,8017,37639,1259,38899,Feuil1
2021,Siliana Sud,33204,16473,49677,2272,51950,Feuil1
2021,Bouarada,27880,8911,36791,1910,38701,Feuil1
2021,Gaafour,40077,11010,51087,1040,52128,Feuil1
2021,Lâroussa,23814,5760,29574,1218,30792,Feuil1
2021,El Krib,29235,13473,42708,1958,44666,Feuil1
2021,Bourouis,19942,3074,23016,1725,24741,Feuil1
2021,Makthar,27396,10293,37689,1218,38907,Feuil1
2021,Bargou,22846,18054,40900,3504,44404,Feuil1
2021,Kesra,11520,25974,37494,5175,42668,Feuil1
2021,Rouhia,37464,18457,55921,3224,59144,Feuil1
2021,Gouvernorat,303000,139496,442496,24503,467000,Feuil1
2022,Siliana Nord,29622,8017,37639,1259,38899,Feuil1
2022,Siliana Sud,33204,16473,49677,2272,51950,Feuil1
2022,Bouarada,27880,8911,36791,1910,38701,Feuil1
2022,Gaafour,40077,11010,51087,1040,52128,Feuil1
2022,Lâroussa,23814,5760,29574,1218,30792,Feuil1
2022,El Krib,29235,13473,42708,1958,44666,Feuil1
2022,Bourouis,19942,3074,23016,1725,24741,Feuil1
2022,Makthar,27396,10293,37689,1218,38907,Feuil1
2022,Bargou,22846,18054,40900,3504,44404,Feuil1
2022,Kesra,11520,25974,37494,5175,42668,Feuil1
2022,Rouhia,37464,18457,55921,3224,59144,Feuil1
2022,Gouvernorat,303000,139496,442496,24503,467000,Feuil1
2023,Siliana Nord,29622,8017,37639,1259,38899,Feuil1
2023,Siliana Sud,33204,16473,49677,2272,51950,Feuil1
2023,Bouarada,27880,8911,36791,1910,38701,Feuil1
2023,Gaafour,40077,11010,51087,1040,52128,Feuil1
2023,Lâroussa,23814,5760,29574,1218,30792,Feuil1
2023,El Krib,29235,13473,42708,1958,44666,Feuil1
2023,Bourouis,19942,3074,23016,1725,24741,Feuil1
2023,Makthar,27396,10293,37689,1218,38907,Feuil1
2023,Bargou,22846,18054,40900,3504,44404,Feuil1
2023,Kesra,11520,25974,37494,5175,42668,Feuil1
2023,Rouhia,37464,18457,55921,3224,59144,Feuil1
2023,Gouvernorat,303000,139496,442496,24503,467000,Feuil1
2024,Siliana Nord,29622,8017,37639,1259,38899,Feuil1
2024,Siliana Sud,33204,16473,49677,2272,51950,Feuil1
2024,Bouarada,27880,8911,36791,1910,38701,Feuil1
2024,Gaafour,40077,11010,51087,1040,52128,Feuil1
2024,Lâroussa,23814,5760,29574,1218,30792,Feuil1
2024,El Krib,29235,13473,42708,1958,44666,Feuil1
2024,Bourouis,19942,3074,23016,1725,24741,Feuil1
2024,Makthar,27396,10293,37689,1218,38907,Feuil1
2024,Bargou,22846,18054,40900,3504,44404,Feuil1
2024,Kesra,11520,25974,37494,5175,42668,Feuil1
2024,Rouhia,37464,18457,55921,3224,59144,Feuil1
2024,Gouvernorat,303000,139496,442496,24503,467000,Feuil1
