n,titre,auteur,annee,nom_de_fichier,lien,feuille
1,Carte bioclimatique de la Tunisie selon la classification d'Emberger,Direction des ressources en eau et en sol,2015.0,1-C,http://www.onagri.tn/uploads/docagri/1-C.PDF,Feuil1
2,Carte des ressources en sols de la Tunisie : Bizerte,Direction des ressources en Eau et en Sol,1979.0,2-C,http://www.onagri.tn/uploads/docagri/2-C.PDF,Feuil1
3,Carte des aménagements CES existants : Bizerte,"DGACTA, Sté Promet SA",2007.0,3-C,http://www.onagri.tn/uploads/docagri/3-C.PDF,Feuil1
4,Carte des pentes : Bizerte,"DGACTA, Sté Promet SA",2007.0,4-C,http://www.onagri.tn/uploads/docagri/4-C.PDF,Feuil1
5,Carte des ressources en sols de Bizerte : Esquisse géologique,Direction des ressources en Eau et en Sol,1979.0,5-C,http://www.onagri.tn/uploads/docagri/5-C.PDF,Feuil1
6,Carte des ressources en sols de Bizerte : Carte de végétation,Direction des ressources en Eau et en Sol,1979.0,6-C,http://www.onagri.tn/uploads/docagri/6-C.PDF,Feuil1
7,Carte des ressources en sols de Bizerte : Carte pédologique,Direction des ressources en Eau et en Sol,1979.0,7-C,http://www.onagri.tn/uploads/docagri/7-C.PDF,Feuil1
8,Bizerte : Carte des pentes,Direction des ressources en Eau et en Sol,1979.0,8-C,http://www.onagri.tn/uploads/docagri/8-C.PDF,Feuil1
9,Carte du statut foncier des terres : Bizerte,"DGACTA, Sté Promet SA",2007.0,9-C,http://www.onagri.tn/uploads/docagri/9-C.PDF,Feuil1
10,Légende de la carte de l'érosion du nord et du centre de la Tunisie,Direction des ressources en Eau et en Sol,1980.0,10-C,http://www.onagri.tn/uploads/docagri/10-C.PDF,Feuil1
11,Carte de l'érosion du nord et du centre de la Tunisie,Direction des ressources en Eau et en Sol,1980.0,11-C,http://www.onagri.tn/uploads/docagri/11-C.PDF,Feuil1
12,Carte de la zones socio-agro-écologiques,Direction des ressources en Eau et en Sol,2007.0,12-C,http://www.onagri.tn/uploads/docagri/12-C.PDF,Feuil1
13,Carte bioclimatique de la Tunisie,Direction des ressources en Eau et en Sol,2007.0,13-C,http://www.onagri.tn/uploads/docagri/13-C.PDF,Feuil1
14,Carte des ressources en sols de la Tunisie : Feuille Tunis /Esquisse géologique,Direction des ressources en Eau et en Sol,1980.0,14-C,http://www.onagri.tn/uploads/docagri/14-C.PDF,Feuil1
15,Carte des ressources en sols de la Tunisie : Feuille Tunis /Carte des pentes moyenne vallée du kralled,Direction des ressources en Eau et en Sol,1980.0,15-C,http://www.onagri.tn/uploads/docagri/15-C.PDF,Feuil1
16,Carte des ressources en sols de la Tunisie : Feuille Tunis /Carte pédologique,Direction des ressources en Eau et en Sol,1980.0,16-C,http://www.onagri.tn/uploads/docagri/16-C.PDF,Feuil1
17,Carte des ressources en sols de la Tunisie : Feuille Tunis /Carte des pentes,Direction des ressources en Eau et en Sol,1980.0,17-C,http://www.onagri.tn/uploads/docagri/17-C.PDF,Feuil1
18,Carte des ressources en sols de la Tunisie : feuille Tunis,Direction des ressources en Eau et en Sol,1980.0,18-C,http://www.onagri.tn/uploads/docagri/18-C.PDF,Feuil1
19,Carte des ressources en sols de la Tunisie : Feuille de Kairouan : esquisse des régions naturelles,Direction des ressources en Eau et en Sol,1983.0,19-C,http://www.onagri.tn/uploads/docagri/19-C.PDF,Feuil1
20,Carte des ressources en sols de la Tunisie : Feuille de Kairouan : esquisse bioclimatique,Direction des ressources en Eau et en Sol,1983.0,20-C,http://www.onagri.tn/uploads/docagri/20-C.PDF,Feuil1
