delegation,secteur,nom_du_gdap,date_de_la_constitution_du_gdap,zone_d_intervention,superficie_dinterventionha,date_du_dernier_conseil_d_entreprise,nombre_des_adherents,nature_d_intervention_du_gdap,feuille
نفزة,الظهيرات,الملكة,2019-01-24 00:00:00,كامل العمادة,1820,2019,24,مجمع نسائي,Béja
نفزة,فطناسة,النهوض بالمراة الريفية,ديسمبر 2018,كامل العمادة,2785,2018,17,مجمع نسائي,Béja
نفزة,وادي المعدن,عين المسوم,2007-08-15 00:00:00,كامل العمادة,2967,2019,82,حسن التصرف في الموارد الطبيعية,Béja
نفزة,الطبابة,طبوبة,2005-09-29 00:00:00,كامل العمادة,3612,2017,84,حسن التصرف في الموارد الطبيعية,Béja
باجة الجنوبية,المخشبية,المثابرة,2004-07-16 00:00:00,كامل العمادة,8901,2009,110,حسن التصرف في الموارد الطبيعية,Béja
باجة الجنوبية,المخشبية,فاقاروم,2018-05-10 00:00:00,كامل العمادة,8901,2018,16,مجمع نسائي,Béja
عمدون,غزية,النجاح,2011-05-14 00:00:00,كامل العمادة,1959,2011,62,حسن التصرف في الموارد الطبيعية,Béja
عمدون,زهرة مدين الجنوبية,النور,2014-12-17 00:00:00,كامل العمادة,1390,2016,65,حسن التصرف في الموارد الطبيعية,Béja
عمدون,الجوزة,الجوزة,2016-10-07 00:00:00,كامل العمادة,1479,2016,68,حسن التصرف في الموارد الطبيعية,Béja
تبرسق,عين مليتي,الكرامة,2011-06-30 00:00:00,كامل العمادة,4903,2016,50,حسن التصرف في الموارد الطبيعية,Béja
تبرسق,بير التوتة,الطموح,2011-06-03 00:00:00,كامل العمادة,3812,2015,20,حسن التصرف في الموارد الطبيعية,Béja
تبرسق,ريحانة,البركة,2001-04-05 00:00:00,كامل العمادة,5199,2001,56,حسن التصرف في الموارد الطبيعية,Béja
