annee,source,resources_mobilisables_en_mm_cube,resources_mobilises_en_mm_cube,taux_de_mobilisation_en_pourcentage,feuille
2023,Eaux_sous_terraines,69.4,29.8,43.0,Feuil2
2023,Nappes_phreatiques,14.06,12.0,85.3,Feuil2
2023,Nappes_profondes,55.27,17.8,32.2,Feuil2
2023,Eaux_de_surface,593.0,363.0,61.2,Feuil2
2023,Eaux_epures_uses,0.0,0.0,0.0,Feuil2
2024,Eaux_sous_terraines,69.4,29.8,43.0,Feuil2
2024,Nappes_phreatiques,14.06,12.0,85.3,Feuil2
2024,Nappes_profondes,55.27,17.8,32.2,Feuil2
2024,Eaux_de_surface,593.0,363.0,61.2,Feuil2
2024,Eaux_epures_uses,0.0,0.0,0.0,Feuil2
