annee,delegation,superficie_production_vegetale_ha,nombre_des_producteurs,superficie_production_forestiere_ha,nombre_des_producteurs_forestiers,exportation_amande_biologique_tonne,exportation_huile_dolive_biologique_tonne,feuille
2022,Kasserine nord,,,,,,,Feuil1
2022,Kasserine sud,91.0,3.0,,,,,Feuil1
2022,Hassi Ferid,72.0,11.0,,,,,Feuil1
2022,Sbeitla,2582.0,29.0,,,,,Feuil1
2022,Sbiba,573.0,15.0,,,,,Feuil1
2022,Jedliane,,,,,,,Feuil1
2022,El Ayoun,124.0,17.0,,,,,Feuil1
2022,Tela,274.0,35.0,,,,,Feuil1
2022,Heidra,32.0,1.0,4000.0,1.0,,,Feuil1
2022,Foussena,2398.0,49.0,13712.0,33.0,,,Feuil1
2022,Feriana,,,3660.0,1.0,,,Feuil1
2022,Mejel Belabbes,790.0,39.0,,,60.0,42.0,Feuil1
2023,Kasserine nord,,,,,,,Feuil1
2023,Kasserine sud,114.0,3.0,,,,,Feuil1
2023,Hassi Ferid,76.0,11.0,,,,,Feuil1
2023,Sbeitla,2588.0,29.0,,,,,Feuil1
2023,Sbiba,471.0,15.0,,,,,Feuil1
2023,Jedliane,,,1500.0,1.0,,,Feuil1
2023,El Ayoun,140.0,17.0,,,,,Feuil1
2023,Tela,201.0,22.0,4050.0,1.0,,,Feuil1
2023,Heidra,45.0,2.0,,,,,Feuil1
2023,Foussena,665.0,47.0,,,,,Feuil1
2023,Feriana,,,,,,,Feuil1
2023,Mejel Belabbes,500.0,23.0,,,50.0,13.0,Feuil1
2024,القصرين الجنوبية,114.0,3.0,,,,,Feuil1
2024,حاسي الفريد,76.0,11.0,,,,,Feuil1
2024,سبيطلة,3715.0,28.0,,,,,Feuil1
2024,سبيبة,,,,,,,Feuil1
2024,جدليان,,,1995.0,1.0,,,Feuil1
2024,العيون,254.0,18.0,,,,,Feuil1
2024,تالة,290.0,22.0,3246.0,1.0,,,Feuil1
2024,حيدرة,42.0,2.0,,,,,Feuil1
2024,فوسانة,715.0,49.0,10210.0,1.0,,,Feuil1
2024,فريانة,,,3300.0,1.0,,,Feuil1
2024,ماجل بلعباس,426.0,23.0,,,30.0,,Feuil1
