campagne_agricole,delegation,superficies_irrigables_ha,superficies_irriguees_ha,superficies_exploitees_ha,feuille
2020/2021,زغوان,1700,970.0,1340.0,Périmètres privés
2020/2021,الزريبة,520,230.0,380.0,Périmètres privés
2020/2021,بئر مشارقة,3480,1750.0,2790.0,Périmètres privés
2020/2021,الفحص,3030,2000.0,2670.0,Périmètres privés
2020/2021,الناظور,1990,1260.0,1640.0,Périmètres privés
2020/2021,صواف,540,290.0,480.0,Périmètres privés
2020/2021,المجموع,11260,6500.0,9300.0,Périmètres privés
2021/2022,زغوان,1700,1298.3076923076924,1801.0752688172042,Périmètres privés
2021/2022,الزريبة,520,307.84615384615387,510.752688172043,Périmètres privés
2021/2022,بئر مشارقة,3480,2342.3076923076924,3750.0,Périmètres privés
2021/2022,الفحص,3030,2676.923076923077,3588.7096774193546,Périmètres privés
2021/2022,الناظور,1990,1686.4615384615386,2204.3010752688174,Périmètres privés
2021/2022,صواف,540,388.15384615384613,645.1612903225806,Périmètres privés
2021/2022,المجموع,11260,8700.0,12500.0,Périmètres privés
2022/2023,زغوان,1730,1330.0,1830.0,Périmètres privés
2022/2023,الزريبة,530,310.0,520.0,Périmètres privés
2022/2023,بئر مشارقة,3540,2410.0,3810.0,Périmètres privés
2022/2023,الفحص,3080,2750.0,3640.0,Périmètres privés
2022/2023,الناظور,2020,1730.0,2240.0,Périmètres privés
2022/2023,صواف,550,390.0,650.0,Périmètres privés
2022/2023,المجموع,11450,8920.0,12690.0,Périmètres privés
2023/2024,زغوان,1780,1380.0,1900.0,Périmètres privés
2023/2024,الزريبة,530,320.0,540.0,Périmètres privés
2023/2024,بئر مشارقة,3580,2510.0,3960.0,Périmètres privés
2023/2024,الفحص,3140,2860.0,3780.0,Périmètres privés
2023/2024,الناظور,2020,1800.0,2330.0,Périmètres privés
2023/2024,صواف,550,410.0,670.0,Périmètres privés
2023/2024,المجموع,11600,9280.0,13180.0,Périmètres privés
