annee,olivieshuile_olive,figues_barbarie,forets_paturages,plantes_medicinales_aromatiques,miel,total_production_ha,feuille
2019,150,,,1.5,1.5,153.0,Feuil1
2020,80,,,2.0,,82.0,Feuil1
2021,120,,,2.5,1.0,123.5,Feuil1
2022,60,_,_,2.0,1.0,63.0,Feuil1
2023,15,,,2.0,1.0,18.0,Feuil1
2024,22,,11.25,1.8,0.5,35.55,Feuil1
