delegation,secteur,insemination_artificielle_2017_nb,insemination_artificielle_2018_nb,feuille
عين دراهم,الرويعي,20,33,Feuil1
عين دراهم,الخمايرية,60,36,Feuil1
عين دراهم,سلول,25,82,Feuil1
عين دراهم,تاقمة,15,0,Feuil1
فرنانة,سيدي عمار,120,144,Feuil1
فرنانة,وادي غريب,175,156,Feuil1
غار الدماء,عين سلطان,96,39,Feuil1
غار الدماء,فركسان,40,27,Feuil1
غار الدماء,المعدن,77,0,Feuil1
طبرقة,الناظور,140,84,Feuil1
طبرقة,عين السنوسي,73,64,Feuil1
طبرقة,الحمام,59,45,Feuil1
