المعتمدية,مساحة_الخضروات_الاخر_فصليةهك,انتاج_الخضروات_الاخر_فصلية_طن,مساحة_الخضروات_الشتوية_هك,انتاج_الخضروات_الشتوية_طن,مساحة_الخضروات_تحت_البيوت_الحامية_هك,انتاج_الخضروات_تحت_البيوت_الحامية_طن,مساحة_الخضروات_تحت_الانفاق_الصغيرة_هك,انتاج_الخضروات_تحت_الانفاق_الصغيرة_طن,مساحة_الخضروات_البدرية_الحقلية_هك,انتاج_الخضروات_البدرية_الحقلية_طن,مساحة_الخضروات_الصيفية_المروية_هك,انتاج_الخضروات_الصيفية_المروية_طن,مساحة_الخضروات_الصيفية_البعلية_هك,انتاج_الخضروات_الصيفية_البعلية_طن,feuille
المهدية,176.65,3634,109,2145.0,51.8,3156.1,10,359,55,1110,132,2898,41,622,Feuil1
قصور الساف,23.0,632,150,1118.0,11.9,742.5,11,408,0,0,22,510,4,44,Feuil1
الشابة,4.0,72,252,3211.0,6.71,551.6,2,76,0,0,41,992,3,27,Feuil1
ملولش,25.0,1168,322,709.0,3.0,174.0,19,749,0,0,23,602,4,58,Feuil1
سيدي علوان,57.35,1876,489,2196.0,9.2,777.0,12,488,14,368,105,2732,61,754,Feuil1
الجم,6.0,173,127,4013.8,0.5,30.0,0,0,0,0,50,1427,25,364,Feuil1
بومرداس,8.0,165,102,1026.0,6.29,475.95,9,368,12,278,54,1313,60,920,Feuil1
السواسي,101.0,3330,174,3581.0,22.0,1778.0,27,954,5,155,139,3238,23,329,Feuil1
شربان,2.0,38,204,7976.0,0.0,0.0,0,0,0,0,35,1540,0,0,Feuil1
هبيرة,94.0,2678,133,1487.0,9.75,744.3,23,930,0,0,153,4143,4,56,Feuil1
اولاد الشامخ,1.0,19,98,1014.0,40.95,5111.2,7,200,0,0,106,2704,0,0,Feuil1
الجملة,498.0,13785,2160,28477.0,162.0,13541.0,120,4532,86,1911,860,22099,225,3174,Feuil1
