المعتمدية,مساحة_الخضروات_الاخر_فصليةهك,انتاج_الخضروات_الاخر_فصلية_طن,مساحة_الخضروات_الشتوية_هك,انتاج_الخضروات_الشتوية_طن,مساحة_الخضروات_تحت_البيوت_الحامية_هك,انتاج_الخضروات_تحت_البيوت_الحامية_طن,مساحة_الخضروات_تحت_الانفاق_الصغيرة_هك,انتاج_الخضروات_تحت_الانفاق_الصغيرة_طن,مساحة_الخضروات_البدرية_الحقلية_هك,انتاج_الخضروات_البدرية_الحقلية_طن,مساحة_الخضروات_الصيفية_المروية_هك,انتاج_الخضروات_الصيفية_المروية_طن,مساحة_الخضروات_الصيفية_البعلية_هك,انتاج_الخضروات_الصيفية_البعلية_طن,feuille
المهدية,148.75,2960,89,2031.0,48.44,2930.9999999999995,14.5,397,65,1105,42,1115,26,338,Feuil1
قصور الساف,17.0,386,81,755.0,10.8,529.6,7.0,225,2,32,41,980,6,73,Feuil1
الشابة,4.0,90,214,3062.0,7.6,626.7,0.5,21,1,17,58,1354,9,97,Feuil1
ملولش,25.0,812,920,1293.0,3.0,171.0,23.0,890,0,0,20,506,53,663,Feuil1
سيدي علوان,34.5,908,380,2068.0,9.770000000000001,790.2,25.5,970,20,510,308,8306,93,1259,Feuil1
الجم,4.0,84,136,2594.8,0.4,23.0,2.0,50,0,0,31,606,16,205,Feuil1
بومرداس,20.0,458,74,664.0,5.95,418.0,4.0,160,22,561,34,897,56,628,Feuil1
السواسي,72.0,2162,146,3768.0,20.75,1603.0,25.0,970,0,0,163,3934,31,460,Feuil1
شربان,1.0,34,44,1719.5,0.0,0.0,0.0,0,0,0,9,212,4,48,Feuil1
هبيرة,40.0,1050,128,1741.0,12.44,860.24,21.5,835,0,0,191,4907,28,376,Feuil1
اولاد الشامخ,2.25,60,41,333.5,34.41,4295.3,2.0,76,0,0,120,3245,20,300,Feuil1
الجملة,369.0,9004,2253,20030.0,154.0,12248.0,125.0,4594,110,2225,1017,26062,342,4447,Feuil1
