delegation_fr,delegation_ar,nombre_de_societes_mutuelles_de_services_agricoles,nombre_total_dadherents,nombre_de_femmes_adherentes,feuille
Tozeur,توزر,1.0,7.0,,Feuil1
Degache,دقاش,,,,Feuil1
Tamaghza,تمغزة,1.0,9.0,,Feuil1
Nefta,نفطة,2.0,14.0,,Feuil1
Hezoua,حزوة,3.0,28.0,,Feuil1
Hammet eljerid,حامة الجريد,,,,Feuil1
Total,المجموع,7.0,58.0,0,Feuil1
