delegation_fr,delegation_ar,annee,nombre_femelle_productive,feuille
Sousse Medina,سوسة المدينة,2016,0,ovins
Sousse Riadh,سوسة الرياض,2016,600,ovins
Sousse Jawhara,سوسة الجوهرة,2016,300,ovins
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2016,800,ovins
Hammam Sousse,حمام سوسة,2016,800,ovins
Akouda,أكودة,2016,2000,ovins
Kalaa Kbira,القلعة الكبرى,2016,15000,ovins
Sid Bou Ali,سيدي بو علي,2016,7500,ovins
Hergla,هرقلة,2016,4000,ovins
Enfidha,النفيضة,2016,32000,ovins
Bouficha,بوفيشة,2016,16000,ovins
Kondar,الكندار,2016,16000,ovins
Sid El Héni,سيدي الهاني,2016,28000,ovins
M'Saken,مساكن,2016,22500,ovins
Kalaa Sghira,القلعة الصغرى,2016,10500,ovins
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2016,5500,ovins
Sousse Medina,سوسة المدينة,2017,0,ovins
Sousse Riadh,سوسة الرياض,2017,800,ovins
Sousse Jawhara,سوسة الجوهرة,2017,300,ovins
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2017,1200,ovins
Hammam Sousse,حمام سوسة,2017,1200,ovins
Akouda,أكودة,2017,3000,ovins
Kalaa Kbira,القلعة الكبرى,2017,19000,ovins
Sid Bou Ali,سيدي بو علي,2017,6500,ovins
Hergla,هرقلة,2017,5000,ovins
Enfidha,النفيضة,2017,34000,ovins
Bouficha,بوفيشة,2017,16000,ovins
Kondar,الكندار,2017,15000,ovins
Sid El Héni,سيدي الهاني,2017,38000,ovins
M'Saken,مساكن,2017,26000,ovins
Kalaa Sghira,القلعة الصغرى,2017,10000,ovins
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2017,5000,ovins
Sousse Medina,سوسة المدينة,2018,0,ovins
Sousse Riadh,سوسة الرياض,2018,800,ovins
Sousse Jawhara,سوسة الجوهرة,2018,300,ovins
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2018,1200,ovins
Hammam Sousse,حمام سوسة,2018,1200,ovins
Akouda,أكودة,2018,3000,ovins
Kalaa Kbira,القلعة الكبرى,2018,20000,ovins
Sid Bou Ali,سيدي بو علي,2018,6000,ovins
Hergla,هرقلة,2018,5000,ovins
Enfidha,النفيضة,2018,40000,ovins
Bouficha,بوفيشة,2018,20000,ovins
Kondar,الكندار,2018,17000,ovins
Sid El Héni,سيدي الهاني,2018,25000,ovins
M'Saken,مساكن,2018,26000,ovins
Kalaa Sghira,القلعة الصغرى,2018,12000,ovins
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2018,7500,ovins
Sousse Medina,سوسة المدينة,2019,0,ovins
Sousse Riadh,سوسة الرياض,2019,800,ovins
Sousse Jawhara,سوسة الجوهرة,2019,300,ovins
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2019,1200,ovins
Hammam Sousse,حمام سوسة,2019,600,ovins
Akouda,أكودة,2019,3250,ovins
Kalaa Kbira,القلعة الكبرى,2019,18000,ovins
Sid Bou Ali,سيدي بو علي,2019,6250,ovins
Hergla,هرقلة,2019,5000,ovins
Enfidha,النفيضة,2019,42500,ovins
Bouficha,بوفيشة,2019,20000,ovins
Kondar,الكندار,2019,15000,ovins
Sid El Héni,سيدي الهاني,2019,25000,ovins
M'Saken,مساكن,2019,28000,ovins
Kalaa Sghira,القلعة الصغرى,2019,12000,ovins
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2019,7600,ovins
Sousse Medina,سوسة المدينة,2020,0,ovins
Sousse Riadh,سوسة الرياض,2020,900,ovins
Sousse Jawhara,سوسة الجوهرة,2020,150,ovins
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2020,1150,ovins
Hammam Sousse,حمام سوسة,2020,850,ovins
Akouda,أكودة,2020,2850,ovins
Kalaa Kbira,القلعة الكبرى,2020,25000,ovins
Sid Bou Ali,سيدي بو علي,2020,9500,ovins
Hergla,هرقلة,2020,7500,ovins
Enfidha,النفيضة,2020,40000,ovins
Bouficha,بوفيشة,2020,20000,ovins
Kondar,الكندار,2020,18500,ovins
Sid El Héni,سيدي الهاني,2020,29000,ovins
M'Saken,مساكن,2020,25000,ovins
Kalaa Sghira,القلعة الصغرى,2020,13000,ovins
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2020,6600,ovins
