gouvernorat,parcelles_de_demonstration_realises_en_2020_unitee,feuille
Beja,5,Feuil1
Jendouba,8,Feuil1
Bizerte,6,Feuil1
Kef,4,Feuil1
Siliana,4,Feuil1
Total,27,Feuil1
