المعتمديـة,2013,2014,2016,2017,2018,2019,2020,2021,2022,feuille
القيروان الشمالية,561.0,774.25,619,820.0,600.0,797.75,734.0,850.25,743.0,مساحات الخضروات
القيروان الجنوبية,1744.5,2097.0,1560,1616.0,1541.0,2276.0,1885.0,2147.0,2156.0,مساحات الخضروات
السبيخة,8522.55,8782.85,9376,9131.65,8132.5,7710.95,8536.65,1929.5,1941.15,مساحات الخضروات
الوسلاتية,154.0,116.0,52,50.0,130.0,119.0,93.0,9023.9,8428.65,مساحات الخضروات
الشبيكة,3134.25,3365.1,2587,1879.0,1999.5,1829.0,1653.7,1881.0,2329.0,مساحات الخضروات
حفوز,1405.0,1738.0,1784,1784.0,1846.0,1561.0,1889.0,1210.0,1160.0,مساحات الخضروات
العلا,0.0,0.0,66,22.0,23.0,53.0,18.0,2841.0,2784.0,مساحات الخضروات
حاجب العيون,1037.0,1185.0,1067,1253.0,1087.0,1008.0,825.0,533.4,163.7,مساحات الخضروات
نصرالله,333.45,531.7,261,134.7,275.5,568.45,609.0,2223.0,1651.0,مساحات الخضروات
بوحجلة,2718.8,1816.35,2947,2869.4,2480.0,2717.0,2700.0,114.0,62.0,مساحات الخضروات
الشراردة,420.0,515.0,862,1298.0,1552.0,2142.0,2165.0,131.0,98.0,مساحات الخضروات
المجمــوع,20030.55,20921.25,21181,20857.750000000004,19666.5,20782.15,21108.35,22884.05,21516.5,مساحات الخضروات
