type,annee,valeurs_mille_dt,feuille
Liege naturel brut ou simplement prepares,1999,137.997,Feuil1
Autres liege naturel brut ou simplement prepares,1999,4166.476,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,1999,12.071,Feuil1
Ouvrages en liége naturel :bouchons*,1999,4720.547,Feuil1
Autres ouvrage en liége naturel,1999,10.512,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",1999,483.559,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,1999,128.872,Feuil1
Liege naturel brut ou simplement prepares,2000,,Feuil1
Autres liege naturel brut ou simplement prepares,2000,5712.484,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2000,3.484,Feuil1
Ouvrages en liége naturel :bouchons*,2000,5084.349,Feuil1
Autres ouvrage en liége naturel,2000,,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2000,3968.548,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2000,25.935,Feuil1
Liege naturel brut ou simplement prepares,2001,0.085,Feuil1
Autres liege naturel brut ou simplement prepares,2001,2968.769,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2001,72.98,Feuil1
Ouvrages en liége naturel :bouchons*,2001,5084.349,Feuil1
Autres ouvrage en liége naturel,2001,19.305,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2001,2780.877,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2001,15.352,Feuil1
Liege naturel brut ou simplement prepares,2002,0.044,Feuil1
Autres liege naturel brut ou simplement prepares,2002,2025.03,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2002,3817.397,Feuil1
Ouvrages en liége naturel :bouchons*,2002,4931.155,Feuil1
Autres ouvrage en liége naturel,2002,340.37,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2002,6251.883,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2002,1.881,Feuil1
Liege naturel brut ou simplement prepares,2003,,Feuil1
Autres liege naturel brut ou simplement prepares,2003,2854.555,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2003,3197.907,Feuil1
Ouvrages en liége naturel :bouchons*,2003,8460.166,Feuil1
Autres ouvrage en liége naturel,2003,3.887,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2003,10818.458,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2003,74.674,Feuil1
Liege naturel brut ou simplement prepares,2004,,Feuil1
Autres liege naturel brut ou simplement prepares,2004,5668.423,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2004,1008.056,Feuil1
Ouvrages en liége naturel :bouchons*,2004,10223.906,Feuil1
Autres ouvrage en liége naturel,2004,5.189,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2004,11988.808,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2004,9.597,Feuil1
Liege naturel brut ou simplement prepares,2005,,Feuil1
Autres liege naturel brut ou simplement prepares,2005,6787.004,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2005,137.525,Feuil1
Ouvrages en liége naturel :bouchons*,2005,2707.258,Feuil1
Autres ouvrage en liége naturel,2005,2.123,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2005,8331.276,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2005,1072.202,Feuil1
Liege naturel brut ou simplement prepares,2006,,Feuil1
Autres liege naturel brut ou simplement prepares,2006,5901.52,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2006,577.501,Feuil1
Ouvrages en liége naturel :bouchons*,2006,1853.72,Feuil1
Autres ouvrage en liége naturel,2006,2.195,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2006,4851.413,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2006,1489.122,Feuil1
Liege naturel brut ou simplement prepares,2007,,Feuil1
Autres liege naturel brut ou simplement prepares,2007,3367.747,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2007,393.818,Feuil1
Ouvrages en liége naturel :bouchons*,2007,1790.954,Feuil1
Autres ouvrage en liége naturel,2007,51.197,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2007,3966.028,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2007,2428.931,Feuil1
Liege naturel brut ou simplement prepares,2008,,Feuil1
Autres liege naturel brut ou simplement prepares,2008,3172.826,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2008,,Feuil1
Ouvrages en liége naturel :bouchons*,2008,1757.929,Feuil1
Autres ouvrage en liége naturel,2008,551.095,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2008,3291.069,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2008,2632.284,Feuil1
Liege naturel brut ou simplement prepares,2009,,Feuil1
Autres liege naturel brut ou simplement prepares,2009,2782.579,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2009,,Feuil1
Ouvrages en liége naturel :bouchons*,2009,1437.814,Feuil1
Autres ouvrage en liége naturel,2009,323.393,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2009,3941.135,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2009,2035.757,Feuil1
Liege naturel brut ou simplement prepares,2010,,Feuil1
Autres liege naturel brut ou simplement prepares,2010,2972.724,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2010,,Feuil1
Ouvrages en liége naturel :bouchons*,2010,2080.148,Feuil1
Autres ouvrage en liége naturel,2010,135.851,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2010,4527.89,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2010,1397.829,Feuil1
Liege naturel brut ou simplement prepares,2011,,Feuil1
Autres liege naturel brut ou simplement prepares,2011,4169.601,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2011,,Feuil1
Ouvrages en liége naturel :bouchons*,2011,1380.207,Feuil1
Autres ouvrage en liége naturel,2011,486.64,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2011,4278.03,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2011,1460.393,Feuil1
Liege naturel brut ou simplement prepares,2012,,Feuil1
Autres liege naturel brut ou simplement prepares,2012,4069.639,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2012,,Feuil1
Ouvrages en liége naturel :bouchons*,2012,1380.207,Feuil1
Autres ouvrage en liége naturel,2012,486.64,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2012,4278.03,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2012,1460.393,Feuil1
Liege naturel brut ou simplement prepares,2013,,Feuil1
Autres liege naturel brut ou simplement prepares,2013,3383.947,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2013,130.286,Feuil1
Ouvrages en liége naturel :bouchons*,2013,1723.684,Feuil1
Autres ouvrage en liége naturel,2013,300.617,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2013,3680.409,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2013,72.826,Feuil1
Liege naturel brut ou simplement prepares,2014,,Feuil1
Autres liege naturel brut ou simplement prepares,2014,3768.368,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2014,305.204,Feuil1
Ouvrages en liége naturel :bouchons*,2014,2324.213,Feuil1
Autres ouvrage en liége naturel,2014,11.869,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2014,4283.285,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2014,,Feuil1
Liege naturel brut ou simplement prepares,2015,,Feuil1
Autres liege naturel brut ou simplement prepares,2015,3241.498,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2015,73.266,Feuil1
Ouvrages en liége naturel :bouchons*,2015,2665.236,Feuil1
Autres ouvrage en liége naturel,2015,450.29,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2015,4558.895,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2015,580.199,Feuil1
Liege naturel brut ou simplement prepares,2016,,Feuil1
Autres liege naturel brut ou simplement prepares,2016,2953.216,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2016,56.687,Feuil1
Ouvrages en liége naturel :bouchons*,2016,2339.142,Feuil1
Autres ouvrage en liége naturel,2016,316.939,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2016,4307.743,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2016,212.479,Feuil1
Liege naturel brut ou simplement prepares,2017,,Feuil1
Autres liege naturel brut ou simplement prepares,2017,3045.934,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2017,1343.657,Feuil1
Ouvrages en liége naturel :bouchons*,2017,4992.241,Feuil1
Autres ouvrage en liége naturel,2017,2603.482,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2017,2439.683,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2017,212.479,Feuil1
Liege naturel brut ou simplement prepares,2018,,Feuil1
Autres liege naturel brut ou simplement prepares,2018,4967.673,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2018,1380.789,Feuil1
Ouvrages en liége naturel :bouchons*,2018,5248.671,Feuil1
Autres ouvrage en liége naturel,2018,4406.033,Feuil1
