type_de_culture,superficie_cultivee_hectares,estimation_production_quintaux,feuille
القمح الصلب,650,17550,Feuil1
القمح اللين,120,3360,Feuil1
الشعير,700,16800,Feuil1
التريتيكال,50,1250,Feuil1
