type_de_culture,superficie_cultivee_hectares,estimation_production_quintaux,feuille
القمح الصلب,540,12680,Feuil1
القمح اللين,260,8260,Feuil1
الشعير,700,11990,Feuil1
التريتيكال,10,250,Feuil1
