type_de_culture,superficie_cultivee_hectares,estimation_production_quintaux,feuille
القمح الصلب,550,4126,Feuil1
القمح اللين,40,200,Feuil1
الشعير,700,2350,Feuil1
التريتيكال,20,200,Feuil1
