type_de_culture,superficie_cultivee_hectares,estimation_production_quintaux,feuille
القمح الصلب,520,16400,Feuil1
القمح اللين,100,3090,Feuil1
الشعير,600,15980,Feuil1
التريتيكال,60,1540,Feuil1
