type_de_culture,superficie_cultivee_hectares,estimation_production_quintaux,feuille
القمح الصلب,520,15870,Feuil1
القمح اللين,100,2985,Feuil1
الشعير,600,10690,Feuil1
التريتيكال,60,1570,Feuil1
