annee,nom_de_la_nappe,profondeur_m,salinite_g_l,ressources_disponibles_mm3_an,quantites_prelevees_mm3_an,nombre_de_puits,nombre_de_puits_equipes,feuille
2021,Djérid,50-10,8---4,36.0,37.56,5427,4823,Feuil1
2021,Chott el gharsa,50-80,"5--3,5",6.9,1.61,197,190,Feuil1
2021,Aîn elkarma,50-17,"3,5--1,5",3.6,4.82,554,519,Feuil1
2021,Tamaghza,8--5,"3,5--2",1.4,1.2,43,37,Feuil1
2021,Mides,5--3,"3,5--2",0.2,0.13,8,7,Feuil1
2021,Total,,,48.1,45.32000000000001,6229,5576,Feuil1
2022,Djérid,50-10,8---4,36.0,37.56,5427,4823,Feuil1
2022,Chott el gharsa,50-80,"5--3,5",6.9,1.61,197,190,Feuil1
2022,Aîn elkarma,50-17,"3,5--1,5",3.6,4.82,554,519,Feuil1
2022,Tamaghza,8--5,"3,5--2",1.4,1.2,43,37,Feuil1
2022,Mides,5--3,"3,5--2",0.2,0.13,8,7,Feuil1
2022,Total,,,48.1,45.32000000000001,6229,5576,Feuil1
2023,Djérid,50_10,4---8,36.0,38.64,5629,4962,Feuil1
2023,Chott el gharsa,50_80,"35,5--8",6.9,1.85,200,193,Feuil1
2023,Aîn elkarma,17-50,"1,5-3,5",3.6,5.02,557,522,Feuil1
2023,Tamaghsa,5_8,"2--3,5",1.4,1.22,48,43,Feuil1
2023,Mides,5_3,"2--3,5",0.2,0.13,8,7,Feuil1
2023,Total,,,48.1,46.86000000000001,6442,5727,Feuil1
2024,Djérid,50_10,4---8,36.0,39.63,5754,5059,Feuil1
2024,Chott el gharsa,50_80,"35,5--8",6.9,1.85,200,193,Feuil1
2024,Aîn elkarma,17-50,"1,5-3,5",3.6,5.03,564,529,Feuil1
2024,Tamaghsa,5_8,"2--3,5",1.4,1.22,51,45,Feuil1
2024,Mides,5_3,"2--3,5",0.2,0.13,8,7,Feuil1
2024,Total,,,48.1,47.86000000000001,6577,5833,Feuil1
