nom_ar,adresse_ar,telephone,feuille
شركة منبت تونس الخضراء  فوزي الأكحل,شط مريم – أكـــودة – سوسة,24306001,Feuil1
وريدة مامنـــــي,الطنطانة – شط مريم- أكودة - سوسة,97778955,Feuil1
شركة لينيا فــاردي  رشيد الأكحل,هنشير القنطاوي الفرادة – النفيضة – سوسة,20779741,Feuil1
