campagne_agricole,olives_a_huile,olives_de_table,total_olives,amandier_sec,abricot,peche,prune,pomme,poire,grenade,vigne,coing,pistache,agrumes,figue,total_fruits,total_general,feuille
2013/2012,108000.0,820,108820,6950,12850,5050,350,4520,650,7800,500,27.0,107.0,12000,530,51334.0,160154.0,Feuil2
2014/2013,52000.0,700,52700,8300,14050,6290,500,4750,650,8270,445,30.0,140.0,13200,590,57215.0,109915.0,Feuil2
2015/2014,,127000,1300,128300,9000,16226,7750,537,5133,630,9564,651.0,28.8,133,12400,190352.8,191652.8,Feuil2
2016/2015,50000.0,680,50680,6400,11900,6700,450,4350,540,9600,600,30.0,110.0,11500,420,52600.0,103280.0,Feuil2
2016/2017,68000.0,830,68830,7200,13400,7300,530,4820,550,10500,0,30.0,125.0,14700,520,59675.0,128505.0,Feuil2
2018/2017,127000.0,1300,128300,9000,16226,7750,537,5133,630,9564,651,28.8,133.0,12400,524,62576.8,190876.8,Feuil2
2019 /2018,88000.0,1100,89100,8350,15150,8170,680,5700,550,13270,745,25.0,160.0,16700,600,70100.0,159200.0,Feuil2
2020 /2019,220000.0,1800,221800,8000,15200,8550,720,5800,500,14500,770,29.0,150.0,14820,600,69639.0,291439.0,Feuil2
