annee,culture_dete,production_tonne,superficie_ha,culture_dhiver,production_tonne_1,superficie_ha_1,feuille
2022,pomme de teree,17600.0,800.0,pomme de terre arrierre saison,12130.0,670.0,Feuil1
2022,tomate,39900.0,700.0,oignon,5760.0,230.0,Feuil1
2022,piment,9200.0,460.0,ail,2100.0,210.0,Feuil1
2022,pasteque,13200.0,440.0,carotte,2600.0,130.0,Feuil1
2022,melon,2250.0,90.0,bettrave,2400.0,120.0,Feuil1
2022,concombre,600.0,40.0,haricot,2400.0,240.0,Feuil1
2022,legumes feuilles,800.0,200.0,legumes feuilles,900.0,180.0,Feuil1
2022,courgette,9000.0,360.0,petit pois,40.0,40.0,Feuil1
2022,oignon,6750.0,270.0,,,,Feuil1
2022,tomate arriere saison,,,,,,Feuil1
2023,pomme de teree,,,pomme de terre arrierre saison,12130.0,670.0,Feuil1
2023,tomate,,,oignon,5750.0,230.0,Feuil1
2023,piment,,,ail,2100.0,210.0,Feuil1
2023,pasteque,,,carotte,2600.0,130.0,Feuil1
2023,melon,,,bettrave,2400.0,120.0,Feuil1
2023,concombre,,,haricot,2400.0,240.0,Feuil1
2023,legumes feuilles,,,legumes feuilles,,,Feuil1
2023,courgette,,,petit pois,40.0,40.0,Feuil1
2023,oignon,,,,,,Feuil1
2023,tomate arriere saison,,,,,,Feuil1
