annee,delegation,olivies_superficie_h,olivies_production_t,palmiers_superficie_h,palmiers_production_t,amandiers_superficie_h,amandiers_production_t,grenadiers_superficie_h,grenadiers_production_t,figuiers_superficie_h,figuiers_production_t,autres_superficie_h,autres_production_t,feuille
2022,Tataouine nord,390,60,15,15,9,6,11.0,50,20,40,25,30,plantaion arboricoles irriguées
2022,Tataouine sud,75,65,12,5,2,2,6.5,30,8,15,13,12,plantaion arboricoles irriguées
2022,Smar et Beni mhira,610,25,22,15,13,5,29.5,38,25,30,24,37,plantaion arboricoles irriguées
2022,Bir lahmer,80,30,0,0,20,36,3.5,20,26,50,51,110,plantaion arboricoles irriguées
2022,Ghomarassen,370,210,35,20,10,20,20.0,40,31,45,28,91,plantaion arboricoles irriguées
2022,Dehiba,85,30,9,15,6,7,15.0,2,30,40,34,14,plantaion arboricoles irriguées
2022,Remada,680,280,102,45,15,4,45.0,20,155,190,75,146,plantaion arboricoles irriguées
2022,Totale,2290,700,195,115,75,80,130.5,200,295,410,250,440,plantaion arboricoles irriguées
