المعتمديـة,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,feuille
القيروان الشمالية,18168.0,19789.0,685.0,22519.0,23599.0,14007.0,25726.5,23520,28715.0,21960.0,إنتاج الخضر (طن)
القيروان الجنوبية,42704.0,59197.5,1795.0,46065.0,43298.0,38597.0,81822.0,53271,79281.0,72751.5,إنتاج الخضر (طن)
السبيخة,103112.5,101795.0,9523.55,111994.0,108957.5,105585.0,103476.5,112613,116711.0,119374.5,إنتاج الخضر (طن)
الوسلاتية,3612.0,3143.5,155.0,1057.0,1100.0,2066.0,2494.0,1311,1475.0,756.0,إنتاج الخضر (طن)
الشبيكة,91422.5,114241.5,3431.75,84278.0,61256.5,60142.5,60145.0,55612,77470.0,66678.5,إنتاج الخضر (طن)
حفوز,42546.0,64072.5,1926.0,70758.0,67308.0,61296.0,57376.0,62465,65635.0,70464.0,إنتاج الخضر (طن)
العلا,,,95.0,1067.0,384.0,405.0,1350.0,280,3440.0,2106.0,إنتاج الخضر (طن)
حاجب العيون,25505.0,25285.0,757.0,25815.0,27955.0,21844.0,21542.0,19155,27080.0,26179.0,إنتاج الخضر (طن)
عين جلولة,,,,,,,,0,,0.0,إنتاج الخضر (طن)
نصرالله,10809.5,12728.0,511.0,10319.0,6733.0,8873.0,26174.5,21524,25345.0,5325.5,إنتاج الخضر (طن)
منزل المهيري,,,,,,,,0,,0.0,إنتاج الخضر (طن)
بوحجلة,41208.0,31958.5,3358.55,54923.0,55258.5,47435.0,43410.0,52615,53755.0,51161.0,إنتاج الخضر (طن)
الشراردة,10728.0,12505.0,481.0,27446.0,39421.0,42256.0,58461.0,57215,64154.0,48922.0,إنتاج الخضر (طن)
مجموع الولاية,389815.5,444715.5,22718.85,456241.0,435270.5,402506.5,481977.5,459581,543061.0,485678.0,إنتاج الخضر (طن)
