societe_ar,عدد_مراكز_التجميع_القارة,طاقة_الخزن_المغطاة_قنطار,طاقة_الخزن_الهواء_الطلق_قنطار,feuille
الشركة التعاونية للزراعات الكبرى (CCGC) الفجة,1,35000,5000.0,مراكز تجميع الحبوب
الشركة التونسية للأنشطة الفلاحية(CTA) برج العامري,1,50000,20000.0,مراكز تجميع الحبوب
"الشركة التعاونية للزراعات الكبرى
(CCGC) طبربة",1,20000,20000.0,مراكز تجميع الحبوب
الشركة التعاونية للبذور (طبربة-منوبة) مخصص للبذور (COCEM),2,140000,100000.0,مراكز تجميع الحبوب
الوردة البيضاء ( الشويقي) طبربة (CMA),1,41500,,مراكز تجميع الحبوب
"الشركة التعاونية المركزية للقمح
(COCEBLE) طبربة",1,15000,50000.0,مراكز تجميع الحبوب
مجمع الخدمات الفلاحية المتعددة(الشويقي)طبربة (GMA),1,80000,,مراكز تجميع الحبوب
