annee,gouvernorat,superficie_certifiee_bio_ha,feuille
2015,Ariana,0.0,Feuil1
2015,Beja,1063.27,Feuil1
2015,Ben Arous,496.698,Feuil1
2015,Bizerte,2176.35,Feuil1
2015,Gabes,391.47,Feuil1
2015,Gafsa,3771.6481,Feuil1
2015,Jendouba,8061.25,Feuil1
2015,Kairouan,38163.774,Feuil1
2015,Kasserine,10747.21,Feuil1
2015,Kebili,1126.175,Feuil1
2015,Le Kef,1670.18,Feuil1
2015,Mahdia,59654.682,Feuil1
2015,Manouba,6042.0,Feuil1
2015,Mednine,246.0,Feuil1
2015,Monastir,3744.45,Feuil1
2015,Nabeul,1101.85,Feuil1
2015,Sfax,47576.255,Feuil1
2015,Sidi Bouzid,9855.4069,Feuil1
2015,Siliana,13271.0,Feuil1
2015,Sousse,2204.651,Feuil1
2015,Tozeur,530.37,Feuil1
2015,Tunis,0.0,Feuil1
2015,Zaghouan,5769.36,Feuil1
2015,Tataouine,2.5,Feuil1
2016,Ariana,11.75,Feuil1
2016,Beja,2196.07,Feuil1
2016,Ben Arous,537.808,Feuil1
2016,Bizerte,1820.75,Feuil1
2016,Gabes,124.89,Feuil1
2016,Gafsa,5437.01,Feuil1
2016,Jendouba,9859.6,Feuil1
2016,Kairouan,31849.6,Feuil1
2016,Kasserine,23459.46,Feuil1
2016,Kebili,1041.15,Feuil1
2016,Le Kef,4124.03,Feuil1
2016,Mahdia,52541.15,Feuil1
2016,Manouba,787.94,Feuil1
2016,Mednine,1572.0,Feuil1
2016,Monastir,1996.55,Feuil1
2016,Nabeul,216.2365,Feuil1
2016,Sfax,53469.97,Feuil1
2016,Sidi Bouzid,18500.75,Feuil1
2016,Siliana,14113.0,Feuil1
2016,Sousse,4681.4,Feuil1
2016,Tozeur,565.2,Feuil1
2016,Tunis,26.6,Feuil1
2016,Zaghouan,6314.33,Feuil1
2016,Tataouine,0.0,Feuil1
2017,Ariana,5.082,Feuil1
2017,Beja,3677.36,Feuil1
2017,Ben Arous,641.076,Feuil1
2017,Bizerte,6899.5,Feuil1
2017,Gabes,152.046,Feuil1
2017,Gafsa,5655.91,Feuil1
2017,Jendouba,14191.1,Feuil1
2017,Kairouan,45244.41,Feuil1
2017,Kasserine,30491.5,Feuil1
2017,Kebili,1898.34,Feuil1
2017,Le Kef,5574.1,Feuil1
2017,Mahdia,98375.0953,Feuil1
2017,Manouba,5705.07,Feuil1
2017,Mednine,5880.2,Feuil1
2017,Monastir,5220.14,Feuil1
2017,Nabeul,7933.06,Feuil1
2017,Sfax,85125.017,Feuil1
2017,Sidi Bouzid,23469.8,Feuil1
2017,Siliana,8785.5,Feuil1
2017,Sousse,8153.929,Feuil1
2017,Tozeur,706.11,Feuil1
2017,Tunis,40.1,Feuil1
2017,Zaghouan,14261.6,Feuil1
2017,Tataouine,0.0,Feuil1
2018,Ariana,33.0,Feuil1
2018,Beja,1672.0,Feuil1
2018,Ben Arous,504.0,Feuil1
2018,Bizerte,1712.0,Feuil1
2018,Gabes,394.0,Feuil1
2018,Gafsa,5085.0,Feuil1
2018,Jendouba,11323.0,Feuil1
2018,Kairouan,48797.0,Feuil1
2018,Kasserine,18418.0,Feuil1
2018,Kebili,1926.0,Feuil1
2018,Le Kef,6088.0,Feuil1
2018,Mahdia,75771.0,Feuil1
2018,Manouba,6193.0,Feuil1
2018,Mednine,21151.0,Feuil1
2018,Monastir,12881.0,Feuil1
2018,Nabeul,2182.0,Feuil1
2018,Sfax,80427.0,Feuil1
2018,Sidi Bouzid,10113.0,Feuil1
2018,Siliana,9681.0,Feuil1
2018,Sousse,10669.0,Feuil1
2018,Tozeur,672.0,Feuil1
2018,Tunis,118.0,Feuil1
2018,Zaghouan,9746.0,Feuil1
2018,Tataouine,0.0,Feuil1
2019,Ariana,36.0,Feuil1
2019,Beja,2596.0,Feuil1
2019,Ben Arous,580.0,Feuil1
2019,Bizerte,5694.0,Feuil1
2019,Gabes,451.0,Feuil1
2019,Gafsa,5820.0,Feuil1
2019,Jendouba,10964.0,Feuil1
2019,Kairouan,61255.0,Feuil1
2019,Kasserine,33515.0,Feuil1
2019,Kebili,1767.0,Feuil1
2019,Le Kef,8076.0,Feuil1
