السنة,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
2007,234.56,235.3079406753322,228.69689722003787,207.49,0.0,0.0,267.50489974000516,281.8220870169648,293.61104858373506,259.76330404478307,326.6173601568049,333.97,سعر شراء الشعير دولار للطن
2008,0.0,394.69000000000005,0.0,380.2851726150656,379.8498788029986,363.79572968555595,360.87906395825183,320.3916879297999,298.4948810735086,297.9828103191569,226.84120248741172,214.48070701506214,سعر شراء الشعير دولار للطن
2009,0.0,0.0,0.0,189.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,سعر شراء الشعير دولار للطن
2010,0.0,0.0,169.2,0.0,171.89,169.9,164.00526989196803,162.845,205.21212808503927,271.8734763101094,277.24000000000007,283.6725451219081,سعر شراء الشعير دولار للطن
2011,291.0,278.38,293.8569123654008,319.9227822361173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.2591430587076,سعر شراء الشعير دولار للطن
2012,0.0,269.75,275.5,298.7389404519906,293.39117066927656,0.0,0.0,283.49000000000007,0.0,0.0,335.5058691662106,334.54,سعر شراء الشعير دولار للطن
2013,323.68999999999994,327.0734080145367,327.9628801536966,328.05899314630705,912.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,سعر شراء الشعير دولار للطن
2014,0.0,264.3,269.59956554769985,0.0,268.74,0.0,0.0,0.0,229.42,230.3930783105807,234.5,223.314505337507,سعر شراء الشعير دولار للطن
2015,231.93,238.08988185264462,237.4712471481606,214.59388044732844,205.5815239500267,0.0,0.0,191.00000000000003,191.21,201.10231006833382,195.41587154616823,195.44,سعر شراء الشعير دولار للطن
2016,190.805,183.92380952380952,180.14733295647176,176.11,175.4071266680708,0.0,162.33400356400358,159.49293097690546,163.55,164.61050459656516,165.50575326257194,167.1709600650418,سعر شراء الشعير دولار للطن
2017,175.6564300161437,175.44834317372332,178.83328994815372,177.55000000000004,0.0,175.74,172.72,175.82,184.46861565900485,189.95184399933945,205.1948285859597,208.9200543013307,سعر شراء الشعير دولار للطن
2018,207.98,208.48,208.33499999999998,228.12333333333333,242.69,229.69,218.69,213.94,213.59333333333333,251.925,257.28333333333336,264.38,سعر شراء الشعير دولار للطن
2019,255.24,255.74,249.75,230.47,218.51,0.0,207.47,0.0,198.9,192.68,194.29,197.16,سعر شراء الشعير دولار للطن
2020,209.5,208.6759893731768,209.63476133440145,208.38046936991645,202.25652902631182,200.44990830060624,189.80314597222736,195.86850249926715,199.45253235747305,206.55803088803088,219.238799264856,234.6839881319856,سعر شراء الشعير دولار للطن
2021,233.0389499321249,240.70340425531916,264.2331667932044,285.87012528807406,282.6464160401003,276.09131740243623,278.9514285714286,270.9545605344917,295.6718122175114,315.2390144338725,320.4027375834381,339.1659981583448,سعر شراء الشعير دولار للطن
2022,353.7300992906292,354.73,342.0,428.2593316488868,344.46,407.09822828029036,412.5258294406922,414.9433333333333,421.43,387.9,393.10025484693335,343.48329740351414,سعر شراء الشعير دولار للطن
