annee,superficie_agricole_ha,superficie_forets_ha,superficie_parcours_et_halfa_et_autres,superficie_totale_agricole_ha,superficie_non_agricole_ha_montagne_sebkha,superficie_totale_ha,feuille
2023,297414,6200,270586,574200,206575,780775,Feuil1
2024,297414,6200,270586,574200,206575,780775,Feuil1
