type_de_culture_fr,type_de_culture_ar,annee,superficie_hectares,production_quintaux,feuille
Blé tendre en sec,قمح لين مطري,2015,222.0,5258.0,Feuil1
Blé tendre en irrigué,قمح لين مروي,2015,28.0,742.0,Feuil1
Orge en grains en sec,شعير مطري,2015,670.0,10385.0,Feuil1
Orge en grains en irrigué,شعير مروي,2015,0.0,0.0,Feuil1
Triticale en sec,تريتيكال مطري,2015,0.0,0.0,Feuil1
Triticale en irrigué,تريتيكال مروي,2015,0.0,0.0,Feuil1
Autres céréales irrigués,حبوب أخرى,2015,0.0,0.0,Feuil1
Blé dur en sec,قمح صلب مطري,2016,425.0,7152.0,Feuil1
Blé dur en irrigué,قمح صلب مروي,2016,69.0,1246.0,Feuil1
Blé tendre en sec,قمح لين مطري,2016,150.0,2400.0,Feuil1
Blé tendre en irrigué,قمح لين مروي,2016,0.0,0.0,Feuil1
Orge en grains en sec,شعير مطري,2016,660.0,11220.0,Feuil1
Orge en grains en irrigué,شعير مروي,2016,0.0,0.0,Feuil1
Triticale en sec,تريتيكال مطري,2016,0.0,0.0,Feuil1
Triticale en irrigué,تريتيكال مروي,2016,0.0,0.0,Feuil1
Autres céréales irrigués,حبوب أخرى,2016,0.0,0.0,Feuil1
Blé dur en sec,قمح صلب مطري,2017,550.0,15950.0,Feuil1
Blé dur en irrigué,قمح صلب مروي,2017,41.0,1230.0,Feuil1
Blé tendre en sec,قمح لين مطري,2017,150.0,4031.0,Feuil1
Blé tendre en irrigué,قمح لين مروي,2017,28.0,896.0,Feuil1
Orge en grains en sec,شعير مطري,2017,600.0,10656.000000000002,Feuil1
Orge en grains en irrigué,شعير مروي,2017,12.0,204.0,Feuil1
Triticale en sec,تريتيكال مطري,2017,0.5,11.5,Feuil1
Triticale en irrigué,تريتيكال مروي,2017,0.0,0.0,Feuil1
Autres céréales irrigués,حبوب أخرى,2017,0.0,0.0,Feuil1
Blé dur en sec,قمح صلب مطري,2018,500.0,10850.0,Feuil1
Blé dur en irrigué,قمح صلب مروي,2018,50.0,1250.0,Feuil1
Blé tendre en sec,قمح لين مطري,2018,124.5,1575.9999999999989,Feuil1
Blé tendre en irrigué,قمح لين مروي,2018,20.0,440.0,Feuil1
Orge en grains en sec,شعير مطري,2018,650.0,13396.99999999998,Feuil1
Orge en grains en irrigué,شعير مروي,2018,0.0,0.0,Feuil1
Triticale en sec,تريتيكال مطري,2018,10.0,170.0,Feuil1
Triticale en irrigué,تريتيكال مروي,2018,0.0,0.0,Feuil1
Autres céréales irrigués,حبوب أخرى,2018,0.0,0.0,Feuil1
Blé dur en sec,قمح صلب مطري,2019,540.0,14580.0,Feuil1
Blé dur en irrigué,قمح صلب مروي,2019,0.0,0.0,Feuil1
Blé tendre en sec,قمح لين مطري,2019,260.0,8320.0,Feuil1
Blé tendre en irrigué,قمح لين مروي,2019,0.0,0.0,Feuil1
Orge en grains en sec,شعير مطري,2019,700.0,11900.0,Feuil1
Orge en grains en irrigué,شعير مروي,2019,0.0,0.0,Feuil1
Triticale en sec,تريتيكال مطري,2019,10.0,260.0,Feuil1
Triticale en irrigué,تريتيكال مروي,2019,0.0,0.0,Feuil1
Autres céréales irrigués,حبوب أخرى,2019,0.0,0.0,Feuil1
