ع_ر,مرجع_القايمة_الرسمية,الموسسة,الولاية_المقر_الاجتماعي,المعتمدية,منتج,محول,مصدر,feuille
25.0,335.0,شركة الزياتين صفاقس,صفاقس,منزل شاكر,*,*,*,Feuil1
,,,صفاقس,منزل شاكر,,,,Feuil1
26.0,336.0,فتحي النيفر,صفاقس,منزل شاكر,*,*,,Feuil1
27.0,337.0,سفيان وجمال القلال,صفاقس,منزل شاكر,,*,,Feuil1
28.0,338.0,تاكس أوليفا,صفاقس,صفاقس,,,*,Feuil1
29.0,339.0,CDS  كسكسي الجنوب,صفاقس,صفاقس,,*,*,Feuil1
30.0,340.0,شركة معصرة الشرفي للتصدير,صفاقس,منزل شاكر,,*,,Feuil1
31.0,341.0,محمد بن سعيدة,صفاقس,عقارب,*,*,*,Feuil1
32.0,342.0,Société Tunisienne de Production   STPA    Alimentaire,صفاقس,صفاقس,*,*,,Feuil1
33.0,343.0,Zouitinat pour le développement agricole,صفاقس,صفاقس,*,,,Feuil1
34.0,344.0,شركة الكوثر لزيت الزيتون,صفاقس,صفاقس,,*,,Feuil1
35.0,345.0,Phoenicia Olive Oils Company,صفاقس,صفاقس,,,*,Feuil1
36.0,346.0,شركة معصرة الميلادي (SHM),صفاقس,منزل شاكر,*,*,,Feuil1
37.0,347.0,Neptine International,صفاقس,صفاقس,,,*,Feuil1
38.0,348.0,معصرة القسمطيني,صفاقس,منزل شاكر,*,*,,Feuil1
39.0,349.0,مجمع التنمية الفلاحية الأمل,صفاقس,صفاقس,*,*,,Feuil1
40.0,350.0,شركة النور لإنتاج وتعليب زيت الزيتون,صفاقس,بئر علي,*,*,,Feuil1
41.0,351.0,شركة بطرية للزيت,صفاقس,صفاقس,,,*,Feuil1
42.0,352.0,شركة كمون للإستغلال الفلاحي والتصدير,صفاقس,صفاقس,,,*,Feuil1
43.0,353.0,SOCOHUILE COMPANY,صفاقس,صفاقس,,*,*,Feuil1
44.0,354.0,شركة معصرة الشرفي للتصدير   +,صفاقس,منزل شاكر,,*,*,Feuil1
45.0,355.0,Société Agricole Nour El Ain,صفاقس بنزرت,,*,,,Feuil1
46.0,356.0,محمد خالد اللوز,صفاقس,بئر على,*,*,,Feuil1
47.0,357.0,نجيب بن بلقاسم,صفاقس,صفاقس,*,*,*,Feuil1
48.0,358.0,بالحسن الكراي Sté Karray Organic Farm,صفاقس,الغريبة,*,,,Feuil1
,,,صفاقس,المحرس,,*,,Feuil1
49.0,359.0,C.H.O SOCIETE DE CONDITIONNEMENT D’HUILE D’olive,صفاقس,طينة,,*,*,Feuil1
50.0,360.0,SOBIA,صفاقس,,*,,,Feuil1
51.0,361.0,HUILERIE SOBIA,صفاقس,صفاقس,,*,,Feuil1
52.0,362.0,Le PROGRES AGRICOLE,صفاقس,صفاقس,*,,,Feuil1
53.0,363.0,HUILERIE SOBIA +,صفاقس,,,*,,Feuil1
54.0,364.0,Faouzi Zouari,صفاقس,منزل شاكر,*,,,Feuil1
55.0,365.0,Société Huilerie Kacem,صفاقس,,,*,,Feuil1
56.0,366.0,الشركة الفلاحية القرقوري,صفاقس,منزل شاكر,*,*,*,Feuil1
57.0,367.0,SOCIETE A.M.B SARL,صفاقس,صفاقس,,*,,Feuil1
58.0,368.0,Société OLEICOLE NAFFATA,صفاقس,صفاقس,*,*,,Feuil1
59.0,369.0,SOCIETE MODERNE D’HUILE D’OLIVE ENNOUR,صفاقس,صفاقس,*,*,,Feuil1
60.0,370.0,SKAYA,صفاقس,صفاقس,,*,,Feuil1
61.0,371.0,معصرة البركة,صفاقس,بئر على,*,*,,Feuil1
62.0,372.0,Huilerie MUSTAPHA MTIRAOUI,صفاقس,صفاقس,*,*,,Feuil1
63.0,373.0,Huilerie  BEN HASSINE CHOKRI,صفاقس,صفاقس,*,*,,Feuil1
64.0,378.0,SMVDA EL ETTIZEZ,سيدي بوزيد,صفاقس,*,,,Feuil1
65.0,385.0,ABDELAZIZ Youssfi,سيدي بوزيد,منزل شاكر,*,,,Feuil1
66.0,494.0,BORGES OLIVE OIL COMPANY,تونس صفاقس,صفاقس,*,,,Feuil1
67.0,515.0,Ulysse Développement Agricole,صفاقس  زغوان,صفاقس,*,,,Feuil1
68.0,1001.0,ناصر القطي,صفاقس,جبنيانة,*,*,*,Feuil1
69.0,1002.0,محمد علي القطي,صفاقس,الحنشة,*,,,Feuil1
70.0,1003.0,Société Selim d’exploitation,صفاقس,الغريبة,*,*,*,Feuil1
71.0,1004.0,شركة مسعودة للتنمية الفلاحية,صفاقس,عقارب,*,,,Feuil1
72.0,1005.0,Sté Kallel Olive Oils Company,صفاقس,صفاقس,,,*,Feuil1
73.0,1006.0,AGROLIVA INTERNATIONAL,صفاقس,صفاقس,,,*,Feuil1
74.0,1007.0,AGROLIVA EXPORT,صفاقس,صفاقس,,,*,Feuil1
75.0,1008.0,Huilerie EMAJD,صفاقس,منزل شاكر,,*,,Feuil1
76.0,1009.0,Sté SOJEX,صفاقس,صفاقس,,,*,Feuil1
77.0,1010.0,أنور المشي,صفاقس,الصخيرة,*,*,,Feuil1
,,,صفاقس,المحرس,,,,Feuil1
,,,صفاقس,الغريبة,,,,Feuil1
78.0,1011.0,سوكاف (+),صفاقس,الحنشة,*,,,Feuil1
79.0,1012.0,معصرة فرج عيسى,صفاقس,الحنشة,*,*,,Feuil1
80.0,1013.0,شركة معصرة الزيتونة,صفاقس,عقارب,*,*,,Feuil1
81.0,1014.0,شركة طيبة للإنتاج الفلاحي,سيدي بوزيد,الحنشة,*,,,Feuil1
,,,سيدي بوزيد,منزل شاكر,,,,Feuil1
82.0,1015.0,الخير و البركة,سوسة,المحرس,*,,,Feuil1
83.0,1016.0,شركة المعصرة لعصرية الزيتونة,صفاقس,بئر علي,*,,,Feuil1
84.0,1017.0,شركة الزيتون لزيت الساحل التونسي,المنستير,الحنشة,*,,,Feuil1
,,,المنستير,بئر علي,,,,Feuil1
85.0,1018.0,شركة الوفاق,المنستير,الصخيرة,*,,,Feuil1
86.0,1019.0,شركة  للاقمر البية,منوبة,العوابد,*,,,Feuil1
,,,منوبة,صفاقس الغربية,,,,Feuil1
87.0,2020.0,شركة فاطمة,القيروان,بئر علي,*,,,Feuil1
,,,القيروان,منزل شاكر,,,,Feuil1
,,,القيروان,عقارب,,,,Feuil1
88.0,2021.0,ريقولا  Rigoula,صفاقس,منزل شاكر,*,*,,Feuil1
