annee,ruche_moderne,ruche_traditionnelle,feuille
2008,220000,10000,Feuil1
2009,205000,5000,Feuil1
2010,245000,5000,Feuil1
2011,205000,2100,Feuil1
2012,257000,2625,Feuil1
2013,180000,2000,Feuil1
2014,235000,5000,Feuil1
2015,250000,4000,Feuil1
2016,177000,3000,Feuil1
2017,200000,5000,Feuil1
2018,245000,2500,Feuil1
2019,255000,2500,Feuil1
2020,275000,2000,Feuil1
2021,282000,2000,Feuil1
2022,315000,2500,Feuil1
2023,302000,3000,Feuil1
2024,298000,1800,Feuil1
2025,210000,2200,Feuil1
