annee,infrastructure_hydraulique_nombre,eaux_decoulement,nappe_phreatique,nappe_profonde,feuille
2020,السدود الكبرى,3.0,,,Feuil1
2020,السدود التلية,22.0,,,Feuil1
2020,البحيرات الجبلية,73.0,,,Feuil1
2020,الآبار السطحية,,16000.0,,Feuil1
2020,الآبار العميقة,,,1445.0,Feuil1
2021,السدود الكبرى,3.0,,,Feuil1
2021,السدود التلية,22.0,,,Feuil1
2021,البحيرات الجبلية,73.0,,,Feuil1
2021,الآبار السطحية,,16000.0,,Feuil1
2021,الآبار العميقة,,,1445.0,Feuil1
2022,السدود الكبرى,3.0,,,Feuil1
2022,السدود التلية,22.0,,,Feuil1
2022,البحيرات الجبلية,73.0,,,Feuil1
2022,الآبار السطحية,,16000.0,,Feuil1
2022,الآبار العميقة,,,1445.0,Feuil1
2023,السدود الكبرى,3.0,,,Feuil1
2023,السدود التلية,22.0,,,Feuil1
2023,البحيرات الجبلية,73.0,,,Feuil1
2023,الآبار السطحية,,16000.0,,Feuil1
2023,الآبار العميقة,,,1445.0,Feuil1
2024,السدود الكبرى,3.0,,,Feuil1
2024,السدود التلية,22.0,,,Feuil1
2024,البحيرات الجبلية,73.0,,,Feuil1
2024,الآبار السطحية,,16000.0,,Feuil1
2024,الآبار العميقة,,,8000.0,Feuil1
