المعتمدية,ابقار,unnamed_2,اغنام,unnamed_4,ماعــز,unnamed_6,ارانب_ام,دواجن_الف_وحدة,اجباح_نحل_جبح,feuille
,,,,,,,,,,Feuil1
بنزرت الشمالية,751.654109589041,578.0588812561335,4711.158798283262,2680.128,323.4943820224719,225.24,70.0,20.0,140.0,Feuil1
بنزرت الجنوبية,7566.651369863014,4580.843964671246,21699.88294966836,13698.432,2541.741573033708,1877.0,150.0,232.0,1400.0,Feuil1
جرزونة,50.11027397260274,21.81354268891069,256.9722980881779,223.344,0.0,0.0,30.0,0.0,0.0,Feuil1
منزل جميل,3106.83698630137,1636.0157016683022,2712.4853687085447,1786.752,323.4943820224719,225.24,90.0,11.0,400.0,Feuil1
منزل بورقيبة,2806.1753424657536,1526.9479882237488,10278.891923527117,7295.904,1097.5702247191011,675.7199999999999,100.0,5.0,70.0,Feuil1
تينجة,1052.3157534246575,599.8724239450441,5139.4459617635575,3126.8160000000003,1501.938202247191,976.04,50.0,2.0,200.0,Feuil1
ماطر,7616.761643835616,4689.9116781158,24269.605930550137,17867.52,3119.4101123595506,1952.08,150.0,220.0,750.0,Feuil1
غزالة,5111.24794520548,3817.369970559372,29980.101443620755,20696.544,3119.4101123595506,2027.16,80.0,12.0,650.0,Feuil1
جومين,8719.187671232876,6434.995093228656,41401.092469762,28186.0128,4736.88202247191,2928.12,160.0,10.0,2700.0,Feuil1
سجنان,9220.290410958904,6762.198233562316,33120.8739758096,23674.464,8318.426966292136,5405.759999999999,140.0,20.0,9900.0,Feuil1
العالية,6313.894520547946,2944.828263002944,4425.634022629731,2933.2512,554.561797752809,375.4,450.0,120.0,400.0,Feuil1
رأس الجبل,6113.453424657535,2726.692836113837,5424.970737417089,4094.64,543.0084269662921,420.448,320.0,60.0,1350.0,Feuil1
غار الملح,5111.24794520548,1745.0834151128558,11420.99102614124,6700.32,531.4550561797753,390.416,230.0,80.0,740.0,Feuil1
أوتيك,9621.172602739724,6391.368007850834,24697.89309403043,15931.872,2079.606741573034,1291.376,260.0,580.0,980.0,Feuil1
المجموع,73161.0,44456.0,219540.0,148896.0,28791.0,18770.0,2280.0,1372.0,19680.0,Feuil1
