annee,delegation,production_lait_bovin_tonne,production_lait_caprin_tonne,viande_bovin_tonne,viande_ovin_tonne,viande_caprin_tonne,viande_camelides_tonne,viande_lapins_tonne,viande_volailles_tonne,miel_tonne,laine_tonne,cuir_tonne,oeufs_de_consommation_mille_unite,feuille
2022,Médenine Sud,87,26,100,173,182,20.0,42.0,16.0,2,8,17,0,Feuil1
2022,Sidi Makhlouf,0,20,0,204,244,66.0,74.0,11.0,4,19,40,0,Feuil1
2022,Ajim,0,10,0,177,122,68.0,110.0,13.0,1,12,28,0,Feuil1
2022,Houmet Essouk,405,3,351,41,32,26.0,,7.0,0,4,8,0,Feuil1
2022,Midoun,100,6,195,78,78,10.0,,8.0,1,4,9,0,Feuil1
2022,Zarzis,110,4,186,77,45,66.0,,8.0,1,5,8,0,Feuil1
2022,Médenine Nord,508,6,358,144,79,27.0,380.0,16.0,3,9,20,105,Feuil1
2022,Ben Guerdane,80,53,50,1087,721,1470.0,144.0,16.0,3,65,115,0,Feuil1
2022,Beni Khedech,0,22,0,369,417,47.0,,10.0,5,54,80,0,Feuil1
2023,Médenine Sud,87,26,100,173,182,,42.0,16.0,2,8,17,0,Feuil1
2023,Sidi Makhlouf,0,20,0,204,244,66.0,74.0,11.0,4,19,40,0,Feuil1
2023,Ajim,0,10,0,177,122,68.0,110.0,13.0,1,12,28,0,Feuil1
2023,Houmet Essouk,405,3,351,41,32,,,7.0,0,4,8,0,Feuil1
2023,Midoun,100,6,195,78,78,10.0,,8.0,1,4,9,0,Feuil1
2023,Zarzis,110,4,186,77,45,66.0,,8.0,1,5,8,0,Feuil1
2023,Médenine Nord,508,6,358,144,79,27.0,380.0,16.0,3,9,20,297,Feuil1
2023,Ben Guerdane,80,53,50,1087,721,1456.0,144.0,16.0,3,65,115,0,Feuil1
2023,Beni Khedech,0,22,0,369,417,47.0,,10.0,5,54,80,0,Feuil1
2024,Médenine Nord,87,26,100,173,182,20.0,16.0,42.0,2,8,17,0,Feuil1
2024,Médenine Sud,0,20,0,204,244,66.0,11.0,74.0,4,19,40,0,Feuil1
2024,Sidi Makhlouf,0,10,0,177,122,68.0,13.0,110.0,1,12,28,0,Feuil1
2024,Ajim,405,3,351,41,32,26.0,7.0,,0,4,8,0,Feuil1
2024,Houmet Essouk,100,6,195,78,78,10.0,8.0,,1,4,9,0,Feuil1
2024,Midoun,110,4,186,77,45,66.0,8.0,,1,5,8,0,Feuil1
2024,Zarzis,508,6,358,144,79,27.0,16.0,380.0,3,9,20,105,Feuil1
2024,Ben Guerdane,80,53,50,1087,721,1470.0,16.0,144.0,3,65,115,0,Feuil1
2024,Beni Khedech,0,22,0,369,417,47.0,10.0,,5,54,80,0,Feuil1
