annee,source,ressources_mobilisables_million_m3,ressources_mobilisees_million_m3,ressources_exploitees_million_m3,feuille
2020.0,المياه الجوفية,53.9,49.9,17.89,Feuil1
2020.0,- المائدة السطحية,24.32,22.0,"9,95*",Feuil1
2020.0,- المائدة العميقة,29.58,27.9,7.94,Feuil1
2020.0,مياه السيلان,965.3,541.16,45 **,Feuil1
2020.0,المياه المطهرة المستعملة,,,,Feuil1
2020.0,كامل الولاية,1019.2,591.06,62.89,Feuil1
2021.0,المياه الجوفية,53.9,49.9,17.89,Feuil1
2021.0,- المائدة السطحية,24.32,22.0,9.95,Feuil1
2021.0,- المائدة العميقة,29.58,27.9,7.86,Feuil1
2021.0,مياه السيلان,965.3,447.0,45,Feuil1
2021.0,المياه المطهرة المستعملة,,,,Feuil1
2021.0,كامل الولاية,1019.2,496.9,62.89,Feuil1
2022.0,المياه الجوفية,53.9,49.9,17.89,Feuil1
2022.0,- المائدة السطحية,24.32,22.0,10.59,Feuil1
2022.0,- المائدة العميقة,29.58,27.9,7.94,Feuil1
2022.0,مياه السيلان,965.3,541.16,45,Feuil1
2022.0,المياه المطهرة المستعملة,,,,Feuil1
2022.0,كامل الولاية,1019.2,591.06,62.89,Feuil1
2024.0,المياه الجوفية,53.9,49.9,20.93,Feuil1
2024.0,- المائدة السطحية,24.32,22.0,"10,59*",Feuil1
2024.0,- المائدة العميقة,29.58,27.9,10.34,Feuil1
2024.0,مياه السيلان,965.3,541.16,45 **,Feuil1
2024.0,المياه المطهرة المستعملة,,,,Feuil1
2024.0,كامل الولاية,1019.2,591.06,65.93,Feuil1
,,,,,Feuil1
,*,,,,Feuil1
,**,,,,Feuil1
