type_de_certification,annee,nombre,feuille
شهادة عادية,2017,34,Feuil1
شهادة معدلة,2017,82,Feuil1
شهادة مبسطة,2017,223,Feuil1
شهادة عادية,2018,0,Feuil1
شهادة معدلة,2018,112,Feuil1
شهادة مبسطة,2018,257,Feuil1
شهادة عادية,2019,2,Feuil1
شهادة معدلة,2019,97,Feuil1
شهادة مبسطة,2019,164,Feuil1
شهادة عادية,2020,6,Feuil1
شهادة معدلة,2020,88,Feuil1
شهادة مبسطة,2020,136,Feuil1
شهادة عادية,2021,55,Feuil1
شهادة معدلة,2021,93,Feuil1
شهادة مبسطة,2021,176,Feuil1
