campagne,activite,production_q,productivite_q_ha,superficie_ha,feuille
2021-2022,فول,1367,6.9,199,Feuil1
2021-2022,فول مصري,17620,8.4,2105,Feuil1
2021-2022,عدس,,,,Feuil1
2021-2022,جلبانة,1979,10.3,193,Feuil1
2021-2022,حمص شتوي,,,,Feuil1
2021-2022,تابل,,,,Feuil1
2021-2022,المجموع,20966,,2497,Feuil1
