annee,plantations,secteur_pluvial_raisins_conversiont,production_t,secteur_irriguee_raisins_conversion_t,production_t_1,superficie_totale_h,poduction_t,feuille
2018/2019,platation_jeunes,0,0.0,10,0,10,0,إنتاج الكروم عند التحويل
2018/2019,platation_productives,120,420.0,130,715,250,1135,إنتاج الكروم عند التحويل
2018/2019,plantation_vieux,10,5.0,10,30,20,35,إنتاج الكروم عند التحويل
2018/2019,totales,130,425.0,150,745,280,1170,إنتاج الكروم عند التحويل
2019/2020,platation_jeunes,0,0.0,10,0,10,0,إنتاج الكروم عند التحويل
2019/2020,platation_productives,120,420.0,110,605,230,1025,إنتاج الكروم عند التحويل
2019/2020,plantation_vieux,10,5.0,0,0,10,5,إنتاج الكروم عند التحويل
2019/2020,totales,130,425.0,120,605,250,1030,إنتاج الكروم عند التحويل
2020/2021,platation_jeunes,0,0.0,10,0,10,0,إنتاج الكروم عند التحويل
2020/2021,platation_productives,120,420.0,110,605,230,1025,إنتاج الكروم عند التحويل
2020/2021,plantation_vieux,10,5.0,0,0,10,5,إنتاج الكروم عند التحويل
2020/2021,totales,130,425.0,120,605,250,1030,إنتاج الكروم عند التحويل
2021/2022,platation_jeunes,0,0.0,10,0,10,0,إنتاج الكروم عند التحويل
2021/2022,platation_productives,185,440.0,60,480,245,920,إنتاج الكروم عند التحويل
2021/2022,plantation_vieux,0,0.0,0,0,0,0,إنتاج الكروم عند التحويل
2021/2022,totales,185,440.0,70,480,255,920,إنتاج الكروم عند التحويل
2022/2023,platation_jeunes,0,0.0,10,0,10,0,إنتاج الكروم عند التحويل
2022/2023,platation_productives,185,,60,480,245,220,إنتاج الكروم عند التحويل
2022/2023,plantation_vieux,0,0.0,0,0,0,0,إنتاج الكروم عند التحويل
2022/2023,totales,185,0.0,70,480,255,220,إنتاج الكروم عند التحويل
2023/2024,platation_jeunes,0,0.0,10,0,10,0,إنتاج الكروم عند التحويل
2023/2024,platation_productives,185,240.0,60,360,245,600,إنتاج الكروم عند التحويل
2023/2024,plantation_vieux,0,0.0,0,0,0,0,إنتاج الكروم عند التحويل
2023/2024,totales,185,240.0,70,360,255,600,إنتاج الكروم عند التحويل
