campagne_agricole,culture,superficie_irriguee_hectares,production_irriguee_tonnes,feuille
2017/2018,البطاطا,1.0,17.0,Feuil1
2017/2018,الطماطم الفصلية,3.0,120.0,Feuil1
2017/2018,الفلفل,1.5,12.0,Feuil1
2017/2018,الدلاع,0.0,0.0,Feuil1
2017/2018,البطيخ,0.25,5.5,Feuil1
2017/2018,الفقوس,4.0,72.0,Feuil1
2017/2018,القرع,1.0,10.0,Feuil1
2017/2018,البصل,4.0,80.0,Feuil1
2017/2018,الباذنجان,0.0,0.0,Feuil1
2017/2018,المعدنوس,4.0,40.0,Feuil1
2017/2018,السلق,2.0,24.0,Feuil1
2017/2018,الكلافس,1.0,10.0,Feuil1
2017/2018,السبناخ,2.0,10.0,Feuil1
2017/2018,الخص,2.0,20.0,Feuil1
2017/2018,السفنارية,1.0,10.0,Feuil1
2017/2018,القناوية,20.0,40.0,Feuil1
2017/2018,مختلفات,5.0,50.0,Feuil1
2019/2019,البطاطا,1.0,18.0,Feuil1
2019/2019,الطماطم الفصلية,5.0,200.0,Feuil1
2019/2019,الفلفل,1.0,8.0,Feuil1
2019/2019,الدلاع,0.0,0.0,Feuil1
2019/2019,البطيخ,0.5,10.0,Feuil1
2019/2019,الفقوس,2.0,36.0,Feuil1
2019/2019,القرع,2.0,20.0,Feuil1
2019/2019,البصل,4.0,80.0,Feuil1
2019/2019,الباذنجان,0.0,0.0,Feuil1
2019/2019,المعدنوس,3.0,30.0,Feuil1
2019/2019,السلق,3.0,36.0,Feuil1
2019/2019,الكلافس,3.0,30.0,Feuil1
2019/2019,السبناخ,3.0,30.0,Feuil1
2019/2019,الخص,3.0,30.0,Feuil1
2019/2019,السفنارية,2.0,20.0,Feuil1
2019/2019,القناوية,20.0,40.0,Feuil1
2019/2019,مختلفات,1.0,10.0,Feuil1
2019/2020,البطاطا,0.0,0.0,Feuil1
2019/2020,الطماطم الفصلية,4.0,160.0,Feuil1
2019/2020,الفلفل,3.0,24.0,Feuil1
2019/2020,الدلاع,0.5,10.0,Feuil1
2019/2020,البطيخ,1.0,20.0,Feuil1
2019/2020,الفقوس,2.0,36.0,Feuil1
2019/2020,القرع,1.0,30.0,Feuil1
2019/2020,البصل,2.0,40.0,Feuil1
2019/2020,الباذنجان,0.5,15.0,Feuil1
2019/2020,المعدنوس,4.0,40.0,Feuil1
2019/2020,السلق,3.0,36.0,Feuil1
2019/2020,الكلافس,2.0,20.0,Feuil1
2019/2020,السبناخ,2.0,20.0,Feuil1
2019/2020,الخص,2.0,20.0,Feuil1
2019/2020,السفنارية,2.0,20.0,Feuil1
2019/2020,القناوية,18.0,36.0,Feuil1
2019/2020,مختلفات,5.0,50.0,Feuil1
2020/2021,البطاطا,0.5,9.0,Feuil1
2020/2021,الطماطم الفصلية,1.0,40.0,Feuil1
2020/2021,الفلفل,1.0,8.0,Feuil1
2020/2021,الدلاع,1.0,20.0,Feuil1
2020/2021,البطيخ,0.5,10.0,Feuil1
2020/2021,الفقوس,1.0,18.0,Feuil1
2020/2021,القرع,0.0,0.0,Feuil1
2020/2021,البصل,3.0,60.0,Feuil1
2020/2021,الباذنجان,0.0,0.0,Feuil1
2020/2021,المعدنوس,3.0,30.0,Feuil1
2020/2021,السلق,1.0,10.0,Feuil1
2020/2021,الكلافس,2.0,20.0,Feuil1
2020/2021,السبناخ,1.0,10.0,Feuil1
2020/2021,الخص,1.0,10.0,Feuil1
2020/2021,السفنارية,2.0,20.0,Feuil1
2020/2021,القناوية,15.0,30.0,Feuil1
2020/2021,مختلفات,4.0,40.0,Feuil1
2021/2022,البطاطا,2.0,36.0,Feuil1
2021/2022,الطماطم الفصلية,2.0,80.0,Feuil1
2021/2022,الفلفل,2.0,16.0,Feuil1
2021/2022,الدلاع,1.0,20.0,Feuil1
2021/2022,البطيخ,1.0,20.0,Feuil1
2021/2022,الفقوس,1.0,18.0,Feuil1
2021/2022,القرع,0.0,0.0,Feuil1
2021/2022,البصل,3.0,60.0,Feuil1
2021/2022,الباذنجان,0.5,10.0,Feuil1
2021/2022,المعدنوس,3.0,30.0,Feuil1
2021/2022,السلق,1.0,10.0,Feuil1
2021/2022,الكلافس,2.0,20.0,Feuil1
2021/2022,السبناخ,1.0,10.0,Feuil1
2021/2022,الخص,1.0,10.0,Feuil1
2021/2022,السفنارية,2.0,20.0,Feuil1
2021/2022,القناوية,15.0,30.0,Feuil1
2021/2022,مختلفات,4.0,40.0,Feuil1
2022/2023,البطاطا,0.0,0.0,Feuil1
2022/2023,الطماطم الفصلية,0.0,0.0,Feuil1
2022/2023,الفلفل,1.0,8.0,Feuil1
2022/2023,الدلاع,0.5,10.0,Feuil1
2022/2023,البطيخ,1.0,20.0,Feuil1
2022/2023,الفقوس,1.0,18.0,Feuil1
2022/2023,القرع,1.0,10.0,Feuil1
2022/2023,البصل,2.0,40.0,Feuil1
2022/2023,الباذنجان,0.0,0.0,Feuil1
2022/2023,المعدنوس,2.0,20.0,Feuil1
2022/2023,السلق,2.0,20.0,Feuil1
2022/2023,الكلافس,2.0,20.0,Feuil1
2022/2023,السبناخ,2.0,20.0,Feuil1
2022/2023,الخص,2.0,30.0,Feuil1
2022/2023,السفنارية,2.0,20.0,Feuil1
2022/2023,القناوية,10.0,20.0,Feuil1
2022/2023,مختلفات,2.0,20.0,Feuil1
