investissements,2019,2020,2021,2022,feuille
Tunis,23821,16377,6328,9085,Feuil1
Ariana,17169,11159,9712,7769,Feuil1
Ben Arous,50713,46954,41588,39688,Feuil1
Nabeul,135429,96815,104712,88022,Feuil1
Zaghouan,75706,74734,67835,53459,Feuil1
Bizerte,72576,58927,63834,65073,Feuil1
Mannouba,48959,36963,48164,55467,Feuil1
Béjà,66287,42366,79577,80897,Feuil1
Jendouba,27540,22489,42354,41671,Feuil1
Kef,41348,35979,44204,38955,Feuil1
Siliana,55344,44498,59226,40856,Feuil1
Kairouan,77501,83283,81173,76074,Feuil1
Kasserine,86535,63614,77134,67179,Feuil1
Sidi Bouzid,119325,99426,97919,90566,Feuil1
Sousse,28362,29830,43939,23509,Feuil1
Monastir,52479,36568,25913,30959,Feuil1
Mahdia,62712,113316,77119,90791,Feuil1
Sfax,94526,104385,145734,249162,Feuil1
Gafsa,56602,57129,47800,34014,Feuil1
Tozeur,29883,25291,9713,7629,Feuil1
Kébili,23941,17105,17798,9529,Feuil1
Gabès,78726,51033,55698,58320,Feuil1
Médenine,50082,43038,33373,44254,Feuil1
Tatouine,18791,13551,27737,12232,Feuil1
