gouvernorat_الولاية,طماطم_بدرية_tomate_primeur,طماطم_فصلية_tomate_saison,طماطم_اخر_فصلية_arriere_saison,فلفل_بدري_piment_primeur,فلفل_فصلي_piment_saison,بطاطا_اخر_فصلية_pomme_de_terre_as,بطاطا_بدرية_pomme_de_terre_primeur,بطاطا_فصلية_pomme_de_terre_saison,قنارية_artichaut,بصل_اخضر_oignon_vert,بصل_صيفي_oignon_ete,ثوم_ail,بطيخ_pasteque,دلاع_melon,فول_اخضر_feve_vert,جلبانة_petitpois,بسباس_fenouille,خضروات_اخرى_divers_legumes_racine,خضروات_ورقية_legumes_feuilles,autres,feuille
الولاية,,,,,,,,,,,,,,,,,,,,,Feuil1
تونس,,,,,,,,,,,,,,,,,,,20.0,50.0,Feuil1
أريانة,,20.0,30.0,10.0,,20.0,,20.0,560.0,80.0,10.0,,60.0,10.0,20.0,40.0,80.0,120.0,90.0,160.0,Feuil1
منوبة,,520.0,,,40.0,130.0,,90.0,550.0,120.0,50.0,10.0,30.0,40.0,20.0,40.0,120.0,100.0,140.0,180.0,Feuil1
بن عروس,,,,,10.0,,,,10.0,40.0,20.0,,20.0,60.0,20.0,,20.0,20.0,80.0,90.0,Feuil1
نابل,50.0,5190.0,100.0,10.0,3400.0,1900.0,700.0,3820.0,10.0,1000.0,450.0,100.0,400.0,420.0,300.0,500.0,1500.0,2400.0,3500.0,3000.0,Feuil1
بنزرت,50.0,280.0,20.0,,300.0,,,1040.0,1220.0,280.0,70.0,,150.0,130.0,150.0,60.0,340.0,290.0,700.0,430.0,Feuil1
باجة,,500.0,,,350.0,270.0,,180.0,190.0,220.0,360.0,80.0,580.0,650.0,30.0,200.0,230.0,40.0,50.0,400.0,Feuil1
جندوبة,,1200.0,300.0,,300.0,2310.0,,800.0,20.0,200.0,400.0,60.0,400.0,500.0,380.0,360.0,150.0,150.0,180.0,50.0,Feuil1
الكاف,,280.0,100.0,,260.0,20.0,,,10.0,110.0,70.0,40.0,120.0,60.0,100.0,40.0,160.0,340.0,480.0,110.0,Feuil1
سليانة,,130.0,10.0,,50.0,,,80.0,,80.0,80.0,60.0,60.0,140.0,30.0,20.0,30.0,80.0,100.0,60.0,Feuil1
زغوان,,760.0,40.0,,450.0,170.0,,110.0,60.0,140.0,120.0,10.0,50.0,500.0,100.0,400.0,120.0,100.0,450.0,600.0,Feuil1
سوسة,10.0,170.0,40.0,20.0,450.0,390.0,330.0,460.0,20.0,70.0,40.0,,40.0,110.0,380.0,280.0,70.0,180.0,170.0,200.0,Feuil1
المنستير,90.0,20.0,320.0,70.0,80.0,320.0,660.0,340.0,,60.0,60.0,,20.0,10.0,,,,150.0,200.0,440.0,Feuil1
المهدية,40.0,60.0,90.0,70.0,280.0,250.0,80.0,210.0,,60.0,80.0,,120.0,120.0,230.0,90.0,20.0,500.0,90.0,100.0,Feuil1
صفاقس,310.0,260.0,620.0,400.0,940.0,240.0,230.0,70.0,,310.0,180.0,,500.0,650.0,410.0,440.0,10.0,460.0,1300.0,940.0,Feuil1
القيروان,,1500.0,600.0,,6500.0,1250.0,,600.0,,750.0,710.0,,650.0,650.0,1200.0,3810.0,,500.0,220.0,230.0,Feuil1
القصرين,,1380.0,200.0,80.0,180.0,,,260.0,,20.0,20.0,40.0,80.0,90.0,100.0,20.0,,20.0,20.0,170.0,Feuil1
سيدي بوزيد,60.0,1200.0,650.0,300.0,2400.0,1800.0,,1100.0,,1800.0,3000.0,800.0,750.0,850.0,1050.0,1400.0,150.0,2500.0,550.0,1200.0,Feuil1
قفصة,,820.0,70.0,,110.0,790.0,,750.0,,100.0,110.0,70.0,70.0,,220.0,50.0,,290.0,270.0,230.0,Feuil1
قابس,,940.0,,,830.0,400.0,,,,330.0,,,750.0,1140.0,,860.0,,1100.0,750.0,130.0,Feuil1
مدنين,,20.0,20.0,,180.0,40.0,,,,170.0,170.0,,60.0,110.0,20.0,30.0,,300.0,460.0,130.0,Feuil1
توزر,,50.0,,,100.0,10.0,,,,40.0,100.0,,,,80.0,,,60.0,390.0,100.0,Feuil1
قبلي,10.0,,,,70.0,10.0,,,,190.0,180.0,80.0,110.0,120.0,60.0,,,180.0,480.0,260.0,Feuil1
تطاوين,,30.0,30.0,10.0,100.0,40.0,,20.0,,30.0,70.0,,30.0,20.0,,,,60.0,30.0,40.0,Feuil1
