annee,delegation,pluviometrie_campagne_mm,moyenne_annuelle_pluviometrie,difference_a_la_moyenne,nbre_jour_precipitation,feuille
2020,Siliana Nord,412.0,408,4,54,Feuil1
2020,Siliana Sud,398.0,443,-45,60,Feuil1
2020,Bargou,472.0,517,-45,56,Feuil1
2020,Bouarada,323.0,373,-50,40,Feuil1
2020,Lâroussa,353.5,411,-57.5,51,Feuil1
2020,Gaafour,371.5,433,-61.5,48,Feuil1
2020,El Krib,420.5,543,-122.5,56,Feuil1
2020,Bourouis,378.0,496,-118,52,Feuil1
2020,Makthar,485.0,494,-9,59,Feuil1
2020,Kesra,446.0,429,17,56,Feuil1
2020,Rouhia,305.5,345,-39.5,42,Feuil1
2021,Siliana Nord,346.0,416,-70,31,Feuil1
2021,Siliana Sud,271.0,441,-170,33,Feuil1
2021,Bargou,399.0,529,-130,34,Feuil1
2021,Bouarada,355.0,379,-24,25,Feuil1
2021,Lâroussa,354.0,425,-71,31,Feuil1
2021,Gaafour,387.0,448,-61,36,Feuil1
2021,El Krib,487.0,550,-63,46,Feuil1
2021,Bourouis,362.0,479,-117,41,Feuil1
2021,Makthar,346.0,485,-139,48,Feuil1
2021,Kesra,496.0,439,57,41,Feuil1
2021,Rouhia,189.0,347,-158,29,Feuil1
2022,Siliana Nord,358.0,416,-58,42,Feuil1
2022,Siliana Sud,279.0,441,-162,40,Feuil1
2022,Bargou,535.0,529,6,37,Feuil1
2022,Bouarada,395.0,379,16,33,Feuil1
2022,Lâroussa,384.0,425,-41,44,Feuil1
2022,Gaafour,372.0,448,-76,46,Feuil1
2022,El Krib,544.0,550,-6,46,Feuil1
2022,Bourouis,367.5,479,- 111.5,35,Feuil1
2022,Makthar,311.0,485,-174,48,Feuil1
2022,Kesra,448.0,439,9,47,Feuil1
2022,Rouhia,194.5,347,- 152.5,33,Feuil1
2023,Siliana Nord,286.0,416,-          130,43,Feuil1
2023,Siliana Sud,266.0,441,-          175,37,Feuil1
2023,Bargou,404.0,529,-          125,47,Feuil1
2023,Bouarada,314.0,379,-          65,35,Feuil1
2023,Lâroussa,295.0,425,-          130,41,Feuil1
2023,Gaafour,298.0,448,-          150,45,Feuil1
2023,El Krib,363.0,550,-          187,43,Feuil1
2023,Bourouis,329.0,479,-          150,46,Feuil1
2023,Makthar,279.0,485,-          205,41,Feuil1
2023,Kesra,404.0,439,-          35,42,Feuil1
2023,Rouhia,236.0,347,-          111,28,Feuil1
2024,Siliana Nord,230.0,416,-          186,43,Feuil1
2024,Siliana Sud,219.0,441,-          222,39,Feuil1
2024,Bargou,420.0,529,-          109,48,Feuil1
2024,Bouarada,281.0,379,-          98,41,Feuil1
2024,Lâroussa,287.0,425,-          138,34,Feuil1
2024,Gaafour,229.0,448,-          219,43,Feuil1
2024,El Krib,371.0,550,-          179,44,Feuil1
2024,Bourouis,346.0,479,-          133,43,Feuil1
2024,Makthar,340.0,485,-          145,45,Feuil1
2024,Kesra,399.0,439,-          40,44,Feuil1
2024,Rouhia,152.0,347,-          195,37,Feuil1
