n,titre,auteur,annee,nom_fichier,feuille
28.0,Stratégie nationale de developpement et de gestion durable des forêts et des parcours 2015-2024,"Direction générale des forets, GIZ",2014.0,1-Forets,Feuil1
29.0,Mise en place d'un système national de suivi des forets en Tunisie : évaluation des besoins et proposition d'une feuille de route,"MARHPM, FAO, PNUD",2019.0,2-Forets,Feuil1
30.0,"Indicateurs clés sur la foret, les produits et services forestiers en Tunisie",ONAGRI,2019.0,3-Forets,Feuil1
31.0,Filière des PFNL dans le Gouvernorat de Béja,"MARHPM,GIZ, DEUTSCHE ZUSAMMENARBEIT",2014.0,4-Forets,Feuil1
32.0,Filière des PAM dans le Gouvernorat de Kairouan : rapport final,"MARHP,GIZ, DEUTSCHE ZUSAMMENARBEIT",2014.0,5-Forets,Feuil1
33.0,Rapport technique: optimiser la production des biens et services par les écosystèmes boisés méditerranéens dans un contexte de changements globaux : Analyse de vulnérabilité au changement climatique du couvert forestier : la foret de Siliana,"Ali Aloui, Kamel Tounsi, DGF,FAO, UNEP",2016.0,6-Forets,Feuil1
34.0,Programme d'investissement forestier en Tunisie : plan d'investissement,"Directions générale des forets, European Bank",2016.0,7-Forets,Feuil1
35.0,Programme d'investissement forestier en Tunisie : plan d'investissement : Annexes,"Directions générale des forets, European Bank",2016.0,8-Forets,Feuil1
36.0,Programme d'investissement forestier en Tunisie : plan d'investissement : Appendices,"Directions générale des forets, European Bank",2016.0,9-Forets,Feuil1
37.0,"Document Fondateur ""Pacte pour une Tunisie Verte""","Directions générale des forets, Association Tunis Ecologie",,10-Forets,Feuil1
38.0,L'Etat des ressources génétiques forestiers en Tunisie : Rapport national,"Directions générale des forets, FAO",2012.0,11-Forets,Feuil1
39.0,L'Etude prospective du secteur forestiers en Afrique (FASA),"Ghasi Gader, Hamed Daly-Hassen",,12-Forets,Feuil1
40.0,Code forestier et ses textes d'application,Ministere d'Agriculture,2017.0,13-Forets,Feuil1
41.0,Evaluation des ressources forestières mondiales 2015 - Rapport National Tunisie,"Youssef SAADANI, Rafik AINI, Kamel ALOUI, FAO",2015.0,14-Forets,Feuil1
42.0,"Le Pin d’Alep en Tunisie :Ecologie, Gestion et Usages","Mohamed Larbi Khouja, INRGREF, IRESA",2020.0,15-Forets,Feuil1
81.0,Le programme forestier national (PEN),"Direction générale des forets, FAO",,16-Forets,Feuil1
82.0,Forets et conservation des eaux et du sol en Tunisie,"Direction générale des forets, FAO",1977.0,17-Forets,Feuil1
83.0,"Rapport de l'atelier de formation ""Conventions internationales relatives aux forets - Processus du programme forestier national tunisien"" : projet d'appui à la gestion durable des écosystèmes forestiers","Direction générale des forets, GIZ",2004.0,18-Forets,Feuil1
84.0,Elaboration des procédures de constitution d'un Forum National sur les Forets et des modalités de son fonctionnement phase 1 : Analyse des capacités et potentiels institutionnels pour la création d'un  Forum National sur les Forets,"Mourad Turki, Direction générale des forets",2008.0,19-Forets,Feuil1
85.0,Elaboration des procédures de constitution d'un Forum National sur les Forets et des modalités de son fonctionnement phase 2,"Mourad Turki, Direction générale des forets",,20-Forets,Feuil1
87.0,Le peuplier en Tunisie : Etat actuel et perspectives,"Mejda Abbasi, Ali Albouchi et Zoubeir Béjaoui, INRGREF",,21-Forets,Feuil1
88.0,البذور الغابية و الرعوية : تجميعها، معالجتها، خزنها و متابعة انتاج الشتلات بالمنابت الغابية,Direction générale des forets,,22-Forets,Feuil1
89.0,مقاومة الحرائق الغابية,"AVFA, Direction générale des forets",1996.0,23-Forets,Feuil1
114.0,Evaluation des ressources forestières mondiales 2010 - Rapport National Tunisie,"FAO, Rafik AINI, Sahbi BEDHIEF",2010.0,24-Forets,Feuil1
115.0,Fonds fiduciaire Néerlandais d'appui à l'aménagement forestier durable dans les pays à faible couvert forestier : role des plantations forestières et des arbres hors forêts dans l'aménagement forestier durable,"FAO, S.ROUCHICHE, H. Abid",2003.0,25-Forets,Feuil1
123.0,Les Tabias,"Khlifa ALAYA, DGF, Werner VIERTMANN, GTZ",1993.0,64-Forets,Feuil1
251.0,Etude sur la caractérsation de la population forestière -Tunisie,"Direction Générale des Forêts, FAO",2012.0,26-Forets,Feuil1
252.0,Graines forestières : Fiche technique,"AVFA, GIZ, DEUTSCHE ZUSAMMENARBEIT",,27-Forets,Feuil1
278.0,Déclaration Pacte pour une Tunisie Verte : Les forêts tunisiennes au service de l'économie verte et de l'adaptation aux changements climatiques,"Direction Générale des Forêts, UTAP",2014.0,28-Forets,Feuil1
289.0,Evaluation économique des biens et services des forêts tunisiennes : Note de synthèse,"Direction Générale des Forêts, FAO",2012.0,29-Forets,Feuil1
301.0,الصنوبر الحلبي,AVFA,1992.0,30-Forets,Feuil1
302.0,La forêt tunisienne : une richesse pour la nature et les hommes = الغابات التونسية : ثروة للطبيعة و الإنسان,"Direction Générale des Forêts, FAO",,31-Forets,Feuil1
303.0,Plantation de l'acacia,Direction Générale des Forêts,1988.0,32-Forets,Feuil1
304.0,l'Arachide,AVFA,1976.0,33-Forets,Feuil1
313.0,ديوان تنمية الغابات و المراعي بالشمال الغربي,Ministère d'Agriculture,,34-Forets,Feuil1
314.0,المراعي الطبيعية و طرق تحسينها,AVFA,1982.0,35-Forets,Feuil1
326.0,Le cactus interne,AVFA,1987.0,63-Forets,Feuil1
386.0,La législation forestière en Tunisie,AVFA,,36-Forets,Feuil1
407.0,"Projet de promotion de""l'agroforesterie et de la restauretion des paysages dégradés"": Cadre de gestion environnementale et sociale  rapport définitif",DGF,2023.0,57-Forets,Feuil1
414.0,Atlas cartographique des terres forestières et pastorales de la Tunisie,"MARHP, Direction Générales des Forêts",2016.0,37-Forets,Feuil1
415.0,Guide d'élaboration et de mise en œuvre des plans de développement communautaires (PDC) dans les zones forestières,"MARHP, Direction Générales des Forêts, Habib khanfir",2007.0,38-Forets,Feuil1
416.0,"Projet de gestion intégrée des forêts (phase II) prêt JICA N° TS-P33 : plan de développement communautaire de la zone de Oued Sbayhia, délégation de Zaghouan","MARHP, Direction Générales des Forêts, Habib khanfir",2017.0,39-Forets,Feuil1
438.0,Stratégie de développement et de gestion durable des forêts et des parcours : Plan d'action regional 2015-2024,"Direction générale des Forêts, Banque Mondiale",2015.0,40-Forets,Feuil1
491.0,Plan d'aquisition pour la reinstallation involontaire document-cadre : Quatrième projet de développement des zones montagneuses et forestières du Nord-Ouest,"MARHP, ODESYPANO",2010.0,41-Forets,Feuil1
492.0,Stratégie de développement et de gestion durable des forêts et des parcours : plan d'action régional 2015-2024,"Direction générale des Forêts, Banque Mondiale",2015.0,42-Forets,Feuil1
506.0,Rapport technique : optimiser la production des biens et services par les écosystèmes boisés méditerranéens dans un contexte de changements globaux : Améliorer la gouvernance des espaces boisés méditerranéens à travers la mise en œuvre de démarches participatives,"FAO, ONAGRI, Plan Bleu",,43-Forets,Feuil1
591.0,"Guide pratique de production en hors sol de plants forestiers, pastoraux et ornementaux en Tunisie","MARH / Direction Générale des Forêts, Rafik El Aini, Ghazi Gader, Mohammed Ali Zarrouk",2006.0,62-Forets,Feuil1
592.0,Forêts Tunisiennes entre marginalité territoriale et valorisation des ressources naturelles : regards croisés entre gestionnaires et usagers,"FIDES, Chedli KARRA",2022.0,44-Forets,Feuil1
593.0,Les écosystèmes forestiers au service du développement et de l'adaptation au changement climatique : Adaptation basée sur les écosystèmes forestiers cas du bassin versant Barbara en Tunisie,"DGF, giz, Coopération Allemande, Abdelhamid KHALDI",2013.0,45-Forets,Feuil1
594.0,La stratégie de développement durable des forêts et parcours en Tunisie 2015-2024 : Pour une transition vers l’économie verte / 4 é semaine forestière méditerranéenne - Barcelone,Youssef SAADANI,2015.0,46-Forets,Feuil1
600.0,Stratégie nationale des zones humide de Tunisie 2025-2035,"DGF,WWF, Rais CHEDLY, El Asmi SOUHA",2024.0,58-Forets,Feuil1
605.0,"Inventaire forestier, pastoral et oléicole national (IFPON) : Un système national de référence de l’occupation du sol pour la Tunisie","MARHP, FAO,  belhaj salah, s.; khemakhem, f.; karray, b.",2022.0,47-Forets,Feuil1
611.0,"Projet de gestion intégrée des paysages ""PGIP"" evaluation externe des ""conventions de cogestion des ressources forestières et contrats d'alliances productives dans le cadre du PGIP"" rapport final","MARHP/Direction Générale des Forêts, Dr ZITOUNI Belgacem",2024.0,48-Forets,Feuil1
612.0,Projet de gestion intégrée des paysages (PGIP) dans les régions les moins développées de la Tunisie composante 3 : Gestion du projet et suivi-évaluation phase 3 : rapport final de l'évaluation financière et économique du projet,"MARHP/Direction Générale des Forêts, Zohra HAMMAMI",2024.0,49-Forets,Feuil1
613.0,"Projet de gestion intégrée des paysages dans les régions les moins développées de la Tunisie  ""PGIP"" sauvegardes environnementales et sociales : Rapport d'évaluation E&S globale du projet de gestion  intégrée des paysages dans les régions les moins développées de la Tunisie  (PGIP)","MARHP/Direction Générale des Forêts, DEKHIL Hamadi",2024.0,50-Forets,Feuil1
614.0,Projet de gestion intégrée des paysages (PGIP) dans les régions les moins développées de la Tunisie : Rapport de l'évaluation sociale et VBG,MARHP/Direction Générale des Forêts,2024.0,51-Forets,Feuil1
615.0,Projet de gestion intégrée des paysages dans les régions les moins développées de la Tunisie  (PGIP) Mission d'appui à l'élaboration du rapport d'achèvement national,MARHP/Direction Générale des Forêts / WBG,2024.0,52-Forets,Feuil1
616.0,"Projet de gestion intégrée des paysages dans les régions les moins développées de la Tunisie : rapport sur la mise en œuvre des activités communaitaires dans le cadre du PGIP ""l'approche innovante de cogestion des ressources forestières, le financement des GDA&le developpement des chaines de valeurs""","MARHP/Direction Générale des Forêts, HASNA Boughanmi",2024.0,53-Forets,Feuil1
617.0,Projet de gestion intégrée des paysages (PGIP) dans les régions les moins développées de la Tunisie composante 3 : gestion du projet et suivi-évaluation phase 2 : Rapprt d'exécution et de l'analyse des résultats,"MARHP/Direction Générale des Forêts, Zohra HAMMAMI",2023.0,54-Forets,Feuil1
618.0,"Projet de gestion intégrée des paysages dans les régions les moins développées de la Tunisie  ""PGIP"" évaluation externe des ""conventions de cogestion des ressources forestières et contrats d'alliances productives dans le cadre du PGIP"" rapprt exécutif","MARHP/Direction Générale des Forêts, Dr ZITOUNI Belgacem",2024.0,55-Forets,Feuil1
619.0,Projet de gestion intégrée des paysages dans les régions les moins développées de la Tunisie  (PGIP) sauvegardes environnementale et sociales : rapport du premier livrable,"MARHP/Direction Générale des Forêts, DEKHIL Hamadi",2023.0,56-Forets,Feuil1
648.0,"Inventaire forestier, pastoral et oléicole national en Tunisie : Manuel de l’agent enquêteur","DGF, MARHP, FAO",2025.0,59-Forets,Feuil1
649.0,"Inventaire forestier, pastoral et oléicole national en Tunisie : Critères et indicateurs","DGF, MARHP, FAO",2025.0,60-Forets,Feuil1
650.0,"Inventaire forestier, pastoral et oléicole national en Tunisie : Analyse socioéconomique des ménages en zones forestières et pastorales en Tunisie","DGF, MARHP, FAO",2025.0,61-Forets,Feuil1
702.0,القائمة الأولية للحيوانات و النباتات بالحديقة الوطنية بدغموس توزر، تونس,"MARHP, DGF, ATVS, KILANI Foz, Ben ATHMAN Hossam",2025.0,65-Forets,Feuil1
703.0,"Catalogue préliminaire de la faune et de la flore du parc national de Dghoumes, Tozeur, Tunisie","MARHP, DGF, ATVS, KILANI Foz, Ben ATHMAN Hossam",2025.0,66-Forets,Feuil1
789.0,Les parcours du Sud tunisien : possibilités et limites de leur développement / Cahiers Options Méditerranéennes; n. 62,"Ben Rhouma H., Souissi M., OEP, CIHEAM",2004.0,67-Forets,Feuil1
790.0,Manuel pratique pour le développement et la gestion durable des parcours naturels collectifs en zones arides,"MARHP, DGFIOP, FIDA",2020.0,68-Forets,Feuil1
804.0,Projet de promotion de l'investissement pour la restauration et la valorisation des écosystèmes agro-sylvo-pastoraux privés sur financement du forest investment program (FIP-Tunisie : cadre de gestion envoronnementale et sociale,"MARHP, GDF",2022.0,69-Forets,Feuil1
,Les actes de la Semaine des Forêts Tunisiennes  Du 9 au 14 Novembre 2020 /أسبوع الغابات التونسية 2020,"MARHP,DGF",2020.0,70-Forets,Feuil1
,Le parc national d'EL FEIJA,"MARHP, DGF",,71-Forets,Feuil1
,الحديقة الوطنية بالفايجة,"MARHP, DGF",1991.0,72-Forets,Feuil1
,Le parc national de Dghoumes,"MARHP, DGF",,73-Forets,Feuil1
,Le parc national de Bouhedma / Atlas des aires protégées en Tunisie,"MARHP, DGF",,74-Forets,Feuil1
,Le parc national de Dghoumes / Atlas des aires protégées en Tunisie,"MARHP, DGF",,75-Forets,Feuil1
,Le parc national d'EL FEIJA / Atlas des aires protégées en Tunisie,"MARHP, DGF",,76-Forets,Feuil1
,La réserve naturelle de Jebel Serj/ Atlas des aires protégées en Tunisie,"MARHP, DGF",,77-Forets,Feuil1
,Parc national d'Oued ezzen/ Atlas des aires protégées en Tunisie,"MARHP, DGF",,78-Forets,Feuil1
,"Indicateurs clés sur la foret, les produits et services forestiers en Tunisie en 2021",ONAGRI,2021.0,79-Forets,Feuil1
