annee,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
2007,267.98933512871963,281.0895387468876,275.9725560631694,0.0,265.00000000000006,265.00000000000006,265.0,265.0,0.0,0.0,0.0,729.0236664706715,سعر شراء القمح الصلب دولار للطن
2008,698.2556303308387,677.9328294907839,0.0,0.0,859.5194293648112,856.69,569.4608412802495,584.18023242747,559.7959846894635,554.4190931619362,504.87343594380104,489.33835428673405,سعر شراء القمح الصلب دولار للطن
2009,458.61,0.0,277.49,0.0,348.980130885369,0.0,0.0,0.0,0.0,0.0,287.4616795667803,0.0,سعر شراء القمح الصلب دولار للطن
2010,271.64,271.64,315.69,267.5367394004304,248.20360610173876,242.69,0.0,0.0,334.38825380115566,332.0731550491847,339.86780727224897,341.6759020143601,سعر شراء القمح الصلب دولار للطن
2011,335.24829216863515,331.15490100212503,489.89,489.89,394.0,0.0,0.0,0.0,0.0,0.0,455.1501531480431,434.34624474936993,سعر شراء القمح الصلب دولار للطن
2012,408.3010455863505,385.6321238559283,390.45265856462714,388.0,392.39038452028643,0.0,0.0,0.0,0.0,413.9,413.90000000000003,400.9601675230044,سعر شراء القمح الصلب دولار للطن
2013,407.55882174174013,412.5147815678721,397.1105225830493,399.24,390.56,384.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0,سعر شراء القمح الصلب دولار للطن
2014,393.2943944833986,415.0858270285465,417.15152119134115,399.1165100736339,425.8789299139424,435.49,0.0,0.0,0.0,0.0,438.02,487.156285590655,سعر شراء القمح الصلب دولار للطن
2015,524.0,510.99476717061543,565.3175658289905,502.6795388671156,563.6666666666666,0.0,0.0,372.76755671373553,369.5,331.8023993414485,346.72972314606926,344.1832246598233,سعر شراء القمح الصلب دولار للطن
2016,325.99,334.5010919468896,322.3897550832816,300.780543352571,279.29034635306374,281.12,0.0,281.6514285714286,272.3544168542724,271.2463281273869,265.08310344827584,264.66500293529407,سعر شراء القمح الصلب دولار للطن
2017,257.9101866224305,279.03513506229217,269.1953444890016,270.5879214808407,268.4039441704513,0.0,0.0,257.49,257.49,256.36260950020807,279.51946332994714,287.7915735149737,سعر شراء القمح الصلب دولار للطن
2018,286.4388888888889,288.58375,296.1766666666667,304.09000000000003,303.14153846153846,298.88,298.88,288.25,288.29,288.985,282.53000000000003,272.1,سعر شراء القمح الصلب دولار للطن
2019,271.35,282.98,292.85,292.84,280.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,سعر شراء القمح الصلب دولار للطن
2020,325.58166969313453,324.26152742501205,325.6981573083779,334.644,331.3342164556264,,,,,321.2,313.47207124560674,324.57713432835817,سعر شراء القمح الصلب دولار للطن
2021,367.74092059648933,373.26442748313303,385.72563458474934,387.61908659083474,380.17315422829404,386.3,,,,386.0576529774127,638.7478498461538,680.2703211684063,سعر شراء القمح الصلب دولار للطن
2022,676.863300248139,689.0995922518871,699.5139280977369,650.4942881453055,638.8685748223267,640.9675919732441,0.0,0.0,0.0,0.0,0.0,510.2348385331219,سعر شراء القمح الصلب دولار للطن
