annee,mois,prix_moyen,feuille
2015,اوت,372.76755671373553,Prix -Moyen-cereale
2015,سبتمبر,369.5,Prix -Moyen-cereale
2015,اكتوبر,331.8023993414485,Prix -Moyen-cereale
2015,نوفمبر,346.72972314606926,Prix -Moyen-cereale
2015,ديسمبر,344.1832246598233,Prix -Moyen-cereale
2016,جانفي,325.99,Prix -Moyen-cereale
2016,فيفري,334.5010919468896,Prix -Moyen-cereale
2016,مارس,322.3897550832816,Prix -Moyen-cereale
2016,افريل,300.780543352571,Prix -Moyen-cereale
2016,ماي,279.29034635306374,Prix -Moyen-cereale
2016,جوان,281.12,Prix -Moyen-cereale
2016,جويلية,0.0,Prix -Moyen-cereale
2016,اوت,281.6514285714286,Prix -Moyen-cereale
2016,سبتمبر,272.35441685427236,Prix -Moyen-cereale
2016,اكتوبر,271.2463281273869,Prix -Moyen-cereale
2016,نوفمبر,265.08310344827584,Prix -Moyen-cereale
2016,ديسمبر,264.66500293529407,Prix -Moyen-cereale
2017,جانفي,257.9101866224305,Prix -Moyen-cereale
2017,فيفري,279.03513506229217,Prix -Moyen-cereale
2017,مارس,269.1953444890016,Prix -Moyen-cereale
2017,افريل,270.5879214808407,Prix -Moyen-cereale
2017,ماي,268.4039441704513,Prix -Moyen-cereale
2017,جوان,0.0,Prix -Moyen-cereale
2017,جويلية,0.0,Prix -Moyen-cereale
2017,اوت,257.49,Prix -Moyen-cereale
2017,سبتمبر,257.49,Prix -Moyen-cereale
2017,اكتوبر,256.36260950020807,Prix -Moyen-cereale
2017,نوفمبر,279.51946332994714,Prix -Moyen-cereale
2017,ديسمبر,287.7915735149737,Prix -Moyen-cereale
2018,جانفي,286.4388888888889,Prix -Moyen-cereale
2018,فيفري,288.58375,Prix -Moyen-cereale
2018,مارس,296.1766666666667,Prix -Moyen-cereale
2018,افريل,304.09000000000003,Prix -Moyen-cereale
2018,ماي,303.14153846153846,Prix -Moyen-cereale
2018,جوان,298.88,Prix -Moyen-cereale
2018,جويلية,298.88,Prix -Moyen-cereale
2018,اوت,288.25,Prix -Moyen-cereale
2018,سبتمبر,288.29,Prix -Moyen-cereale
2018,اكتوبر,288.985,Prix -Moyen-cereale
2018,نوفمبر,282.53000000000003,Prix -Moyen-cereale
2018,ديسمبر,272.1,Prix -Moyen-cereale
