delegation,secteur,amenagement_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_amenagees,remise_a_niveau_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_reabilitees,amenagement_des_reseaux_d_adduction_d_eaux_potables_aep,nb_des_beneficiaires_des_reseaux_aep,nb_des_citernes_individuelles_creees,feuille
نبر,بهرة,0.0,0,16.4,300,0.0,0,0,Feuil1
نبر,الشتاتلة,0.0,0,4.0,150,0.0,0,1,Feuil1
نبر,تل الغزلان,0.0,0,3.5,170,0.0,0,0,Feuil1
نبر,سيدي مدين,0.0,0,0.8,100,,130,0,Feuil1
الطويرف,الطويرف,1.9,200,0.0,0,0.0,0,6,Feuil1
الطويرف,ولجة السدرة,4.1,430,0.0,0,0.0,0,0,Feuil1
الطويرف,الاذياب,9.9,400,0.0,0,0.0,0,6,Feuil1
الطويرف,ملالة,5.7,400,0.0,0,0.0,0,6,Feuil1
السرس,الاربص,0.0,0,4.5,150,0.0,0,0,Feuil1
السرس,بوصليعة,5.4,380,0.0,0,,250,0,Feuil1
الكاف الغربية,وادي الرمل الشمالي,0.0,0,6.0,340,0.0,0,0,Feuil1
الكاف الغربية,وادي الرمل الجنوبي,7.15,390,0.0,0,0.0,0,0,Feuil1
الكاف الشرقية,وادي السوني الجنوبي,0.8,300,7.5,230,,1500,0,Feuil1
الكاف الشرقية,الزعفران,0.0,0,5.35,260,0.0,0,0,Feuil1
الكاف الشرقية,وادي السوني الشمالي,6.0,150,16.0,410,0.0,0,0,Feuil1
الساقية,عين الكرمة,0.0,0,1.0,350,0.0,0,0,Feuil1
الساقية,فرشان,0.0,0,6.5,230,,150,0,Feuil1
الساقية,جرادو,5.2,270,0.0,0,0.0,0,0,Feuil1
الساقية,سيدي رابح,0.0,0,10.1,380,0.0,0,1,Feuil1
