المعتمدية,المهدية,قصور_الساف,الشابة,ملولش,سيدي_علوان,الجم,بومرداس,السواسي,شربان,اولاد_الشامخ,هبيرة,المجموع,feuille
الموسم 2019-2020,21000,22000,28000,28000,28000,24000,11000,21000,10000,44000,20000,257000,Feuil1
الموسم 2020-2021,1320,1940,120,180,650,2540,480,6020,3770,2600,14000,33620,Feuil1
الموسم 2021-2022,9770,11270,27520,21700,9350,12400,6110,20020,9760,8600,15500,152000,Feuil1
