نوعية_التدخل,عدد_المطالب_الواردة_سنة_2020,الموافقة,عدم_الموافقة,مطالب_بصدد_الدراسة,قيمة_القروض,قيمة_المنح,feuille
كهربة آبار,7,7,0,0,,16853.0,Feuil1
حفر آبار سطحية,5,5,0,,,31786.0,Feuil1
حفر آبار انبوبية عميقة,11,11,0,,,170734.0,Feuil1
تجهيز آبار,25,25,0,,,102427.0,Feuil1
أحواض,22,22,0,,,130500.0,Feuil1
بيت محرك,21,21,0,,,66000.0,Feuil1
سواقي إسمنتية,0,0,0,0,,0.0,Feuil1
قنوات ري,0,0,0,0,,0.0,Feuil1
ماجل,53,53,0,0,,459000.0,Feuil1
إسطبل,1,1,0,0,,4500.0,Feuil1
زريبة,1,1,0,0,,6500.0,Feuil1
الجملــــة,146,146,0,0,,988300.0,Feuil1
