annee_ar,المساحة_المحترقة_ملك_الدولة_الغابي_هك,المساحة_المحترقة_ملك_الدولة_الخاص_هك,المساحة_المحترقة_ملك_الخواص_هك,feuille
2011,12.95,1,51.45,تطور مساحة حرائق الغابات
2012,12.8,,16.5,تطور مساحة حرائق الغابات
2013,40.0,34.5,10.0,تطور مساحة حرائق الغابات
2014,79.5,,47.0,تطور مساحة حرائق الغابات
2015,1.0,,28.5,تطور مساحة حرائق الغابات
2016,2.75,,2.0,تطور مساحة حرائق الغابات
2017,,,,تطور مساحة حرائق الغابات
2018,,0.3,1.0,تطور مساحة حرائق الغابات
