delegation,nombre,nom_et_zone_dinstallation,capacite_tonne,capacite_totale,exploitation,feuille
باجة الجنوبية,1,مصطفى بالكاهية - الأفارق,30,1230.0,مستغل,Feuil1
باجة الجنوبية,1,قايدي عبد الفتاح بالمعقولة,500,,مستغل,Feuil1
باجة الجنوبية,1,محمد الهمامي - الأفارق,700,,مستغل,Feuil1
مجاز الباب,1,زهير بن عمر المليتي - قريش الواد,300,700.0,مستغل,Feuil1
مجاز الباب,1,ورثة علي النعاس- الهري,400,,,Feuil1
قبلاط,1,شركة الهدف : فاكر الوسلاتي المنطقة الصناعية قبلاط,240,1840.0,مستغل,Feuil1
قبلاط,1,مختار مهذب الهمامي- قبلاط,1200,,مستغل,Feuil1
قبلاط,1,شركة زينة-المنطقة الصتاعية قبلاط,200,,مستغل,Feuil1
قبلاط,1,نور الدين الرياحي- المنطقة الصتاعية قبلاط,200,,,Feuil1
تستور,1,محمد الدريدي بتستور,400,2350.0,مستغل,Feuil1
تستور,1,الأمين التاغوتي تستور,100,,مستغل,Feuil1
تستور,1,منصف جبيس تستور,200,,مستغل,Feuil1
تستور,1,شركة التخزين والتوزيع بتستور,400,,مستغل,Feuil1
تستور,1,ورثة أحمد الشريف بتستور,200,,مستغل,Feuil1
تستور,1,شركة تبريد الافق بفيض التونسي,400,,مستغل,Feuil1
تستور,1,مراد البحريني بالسلوقية,100,,غير مستغل,Feuil1
تستور,1,علي شنني بتستور,150,,مستغل,Feuil1
تستور,1,أبناء محمد بن بلقاسم الهمامي,30,,مستغل,Feuil1
تستور,1,بحري فريحة بتستور,100,,مستغل,Feuil1
تستور,1,محمد بن الطاهر الهمامي - جباس,70,,مستغل,Feuil1
تستور,1,لطفي بن الطاهر الهمامي -جباس,100,,مستغل,Feuil1
تستور,1,أولاد بن حمرة سيدي عبد العزيز,30,,مستغل,Feuil1
تستور,1,محمد ين حرشة- السلوقية,70,,مستغل,Feuil1
تيبار,1,المركب الفلاحي بتيبار,100,600.0,مستغل,Feuil1
تيبار,1,سمير الصدغياني  بتيبار,500,,مستغل,Feuil1
كامل الولاية,25,,6720,6720.0,,Feuil1
