evolution_de_la_vente_du_liege_par_categorie,unnamed_1,unnamed_2,unnamed_3,feuille
,,,,Feuil1
,categorie du liege,,,Feuil1
2000.0,liege de reproduction,85241.21,8408500.0,Feuil1
2000.0,liege male,10700.86,224830.0,Feuil1
2000.0,dechet de liege,15954.68,396500.0,Feuil1
2000.0,liege de ramassage,16255.65,174650.0,Feuil1
2001.0,liege de reproduction,44485.61,5633000.0,Feuil1
2001.0,liege male,2378.97,48850.0,Feuil1
2001.0,dechet de liege,3965.69,111500.0,Feuil1
2001.0,liege de ramassage,0.0,0.0,Feuil1
2002.0,liege de reproduction,67670.76,6678500.0,Feuil1
2002.0,liege male,7196.03,109200.0,Feuil1
2002.0,dechet de liege,8801.36,191420.0,Feuil1
2002.0,liege de ramassage,16641.84,164260.0,Feuil1
2003.0,liege de reproduction,55344.47,5430000.0,Feuil1
2003.0,liege male,1880.75,24310.0,Feuil1
2003.0,dechet de liege,2816.67,45300.0,Feuil1
2003.0,liege de ramassage,29415.75,222900.0,Feuil1
2004.0,liege de reproduction,52380.25,5202450.0,Feuil1
2004.0,liege male,6866.37,85510.0,Feuil1
2004.0,dechet de liege,12968.42,204050.0,Feuil1
2004.0,liege de ramassage,7950.4,66100.0,Feuil1
2005.0,liege de reproduction,53885.68,5696000.0,Feuil1
2005.0,liege male,6442.82,95105.0,Feuil1
2005.0,dechet de liege,12090.66,271250.0,Feuil1
2005.0,liege de ramassage,3887.15,33730.0,Feuil1
2006.0,liege de reproduction,56467.5,6111500.0,Feuil1
2006.0,liege male,4410.54,58925.0,Feuil1
2006.0,dechet de liege,8094.76,188500.0,Feuil1
2006.0,liege de ramassage,645.2,6100.0,Feuil1
2007.0,liege de reproduction,48472.83,5732000.0,Feuil1
2007.0,liege male,2125.91,36395.0,Feuil1
2007.0,dechet de liege,7549.42,227920.0,Feuil1
2007.0,liege de ramassage,5970.3,65850.0,Feuil1
2008.0,liege de reproduction,54472.67,7418000.0,Feuil1
2008.0,liege male,1548.16,27810.0,Feuil1
2008.0,dechet de liege,5365.61,187100.0,Feuil1
2008.0,liege de ramassage,731.95,8460.0,Feuil1
2009.0,liege de reproduction,33054.34,3171000.0,Feuil1
2009.0,liege male,1810.12,29100.0,Feuil1
2009.0,dechet de liege,2069.98,59780.0,Feuil1
2009.0,liege de ramassage,6017.42,59350.0,Feuil1
2010.0,liege de reproduction,41296.85,4590075.0,Feuil1
2010.0,liege male,1845.2,33150.0,Feuil1
2010.0,dechet de liege,5152.08,176550.0,Feuil1
2010.0,liege de ramassage,3312.45,39850.0,Feuil1
2011.0,liege de reproduction,51014.1,7112575.0,Feuil1
2011.0,liege male,1580.04,28825.0,Feuil1
2011.0,dechet de liege,4213.48,155400.0,Feuil1
2011.0,liege de ramassage,2181.0,26300.0,Feuil1
2012.0,liege de reproduction,34265.7,5199000.0,Feuil1
2012.0,liege male,1771.29,34950.0,Feuil1
2012.0,dechet de liege,3640.15,148235.0,Feuil1
2012.0,liege de ramassage,2374.45,15700.0,Feuil1
2013.0,liege de reproduction,23691.57,3636000.0,Feuil1
2013.0,liege male,821.73,17960.0,Feuil1
2013.0,dechet de liege,2508.72,114820.0,Feuil1
2013.0,liege de ramassage,0.0,0.0,Feuil1
2014.0,liege de reproduction,51219.58,7739000.0,Feuil1
2014.0,liege male,755.04,19790.0,Feuil1
2014.0,dechet de liege,3202.66,158150.0,Feuil1
2014.0,liege de ramassage,4537.97,47960.0,Feuil1
2015.0,liege de reproduction,30398.41,4784500.0,Feuil1
2015.0,liege male,875.9,25810.0,Feuil1
2015.0,dechet de liege,2742.64,138350.0,Feuil1
2015.0,liege de ramassage,604.2,6200.0,Feuil1
2016.0,liege de reproduction,36294.52,5619500.0,Feuil1
2016.0,liege male,1332.18,41500.0,Feuil1
2016.0,dechet de liege,3643.94,202420.0,Feuil1
2016.0,liege de ramassage,2016.47,20950.0,Feuil1
2017.0,liege de reproduction,50258.8,8581100.0,Feuil1
2017.0,liege male,830.08,27990.0,Feuil1
2017.0,dechet de liege,4923.31,284850.0,Feuil1
2017.0,liege de ramassage,2708.4,42170.0,Feuil1
2018.0,liege de reproduction,36416.41,6662600.0,Feuil1
2018.0,liege male,336.02,12380.0,Feuil1
2018.0,dechet de liege,4755.99,296100.0,Feuil1
2018.0,liege de ramassage,438.08,9000.0,Feuil1
2019.0,liege de reproduction,39893.98,8245000.0,Feuil1
2019.0,liege male,1683.4,70330.0,Feuil1
2019.0,dechet de liege,6167.55,431550.0,Feuil1
2019.0,liege de ramassage,649.3,16800.0,Feuil1
2020.0,liege de reproduction,36790.58,7544000.0,Feuil1
2020.0,liege male,462.28,19860.0,Feuil1
2020.0,dechet de liege,4029.99,292100.0,Feuil1
2020.0,liege de ramassage,1551.15,42200.0,Feuil1
2021.0,liege de reproduction,38340.64,8499100.0,Feuil1
2021.0,liege male,959.4,49600.0,Feuil1
2021.0,dechet de liege,3305.23,280780.0,Feuil1
2021.0,liege de ramassage,4788.77,153400.0,Feuil1
2022.0,liege de reproduction,37513.31,9954000.0,Feuil1
2022.0,liege male,387.52,21350.0,Feuil1
2022.0,dechet de liege,2850.96,277050.0,Feuil1
2022.0,liege de ramassage,161.65,5800.0,Feuil1
