annee,delegation,nombre_de_puits,ressources_mm3,exploitation_mm3,feuille
2022,Grombalia,1674,9.5,54.41,Feuil1
2022,Takilsa,447,3.5,16.2,Feuil1
2022,El Haouaria,154,5.2,9.9,Feuil1
2022,Littoral du Cap bon,965,11.0,27.59,Feuil1
2022,Nabeul - Hammamet,622,1.9,23.12,Feuil1
2022,Tazogran,32,1.6,1.23,Feuil1
2022,Total,3894,32.699999999999996,132.45,Feuil1
2023,Grombalia,1676,9.5,54.41,Feuil1
2023,Takilsa,447,3.5,16.2,Feuil1
2023,El Haouaria,154,5.2,9.9,Feuil1
2023,Littoral du Cap bon,966,11.0,27.59,Feuil1
2023,Nabeul - Hammamet,622,1.9,23.12,Feuil1
2023,Tazogran,32,1.6,1.23,Feuil1
2023,Total,3897,32.699999999999996,132.45,Feuil1
2024,Grombalia,1860,9.5,58.01,Feuil1
2024,Takilsa,538,3.5,19.85,Feuil1
2024,El Haouaria,185,5.2,10.64,Feuil1
2024,Littoral du Cap bon,1111,11.1,31.14,Feuil1
2024,Nabeul - Hammamet,668,1.9,25.86,Feuil1
2024,Tazogran,33,1.6,1.34,Feuil1
2024,Total,4395,32.8,146.84,Feuil1
