annee,peche_cotiere,peche_danguille,peche_dans_les_barrages_et_les_lacs,feuille
2017,232.575,14.026,2.278,انتاج صيد بحري
2018,273.94,15.446,3.407,انتاج صيد بحري
2019,223.915,18.252,1.027,انتاج صيد بحري
2020,220.795,17.397,0.631,انتاج صيد بحري
2021,222.773,18.245,3.54,انتاج صيد بحري
2022,222.815,11.891,2.332,انتاج صيد بحري
2024,221.0,25.5,4.5,انتاج صيد بحري
2025,225.0,13.92,0.0,انتاج صيد بحري
