السنة,عدد_الملفات,الكلفة_الجملية_د,المنحــة_د,feuille
2017,18,64099,21750,الاستثمار في صيد بحري
2018,38,194987,81813,الاستثمار في صيد بحري
2019,25,170953,57702,الاستثمار في صيد بحري
2020,6,36310,12572,الاستثمار في صيد بحري
2021,13,78596,25694,الاستثمار في صيد بحري
2022,24,153268,48029,الاستثمار في صيد بحري
2023,18,139605,90626,الاستثمار في صيد بحري
2024,4,161379,101756,الاستثمار في صيد بحري
2025,14,180705,111176,الاستثمار في صيد بحري
