annee,delegation,total_population_rurale_habitant,populaion_desservie_gr_habitant,genie_rural_taux_desserte,populaion_desservie_sonede_habitant,sonede_taux_desserte,nbre_total_population_desservie_habitant,total_taux_desserte,feuille
2023,الكاف الشرقية,11781.0,4467.0,37.92,7132.0,60.54,11599.0,98.46,Feuil1
2023,الكاف الغربية,7313.0,905.0,12.38,5686.0,77.75,6591.0,90.13,Feuil1
2023,قلعة سنان,7509.0,4557.0,60.69,2933.0,39.06,7490.0,99.75,Feuil1
2023,الجريصة,,,,,,,,Feuil1
2023,الدهماني,14620.0,10196.0,69.74,2975.0,20.35,13171.0,90.09,Feuil1
2023,القصور,9678.0,8372.0,86.51,1284.0,13.27,9656.0,99.77,Feuil1
2023,السرس,11195.0,6020.0,53.77,2942.0,26.28,8962.0,80.05,Feuil1
2023,تاجروين,8273.0,6883.0,83.2,1226.0,14.82,8109.0,98.02,Feuil1
2023,القلعة الخصباء,4118.0,2290.0,55.61,1796.0,43.61,4086.0,99.22,Feuil1
2023,الساقية,11209.0,8249.0,73.59,2868.0,25.59,11117.0,99.18,Feuil1
2023,نبر + الطويرف,20502.0,13536.0,66.02,6003.0,29.28,19539.0,95.3,Feuil1
2023,المجموع,106198.0,65475.0,61.65,34845.0,32.81,100320.0,94.47,Feuil1
2024,الكاف الشرقية,11781.0,4467.0,37.92,7132.0,60.54,11599.0,98.46,Feuil1
2024,الكاف الغربية,7313.0,905.0,12.38,5686.0,77.75,6591.0,90.13,Feuil1
2024,قلعة سنان,7509.0,4557.0,60.69,2933.0,39.06,7490.0,99.75,Feuil1
2024,الجريصة,,,,,,,,Feuil1
2024,الدهماني,14620.0,10196.0,69.74,2975.0,20.35,13171.0,90.09,Feuil1
2024,القصور,9678.0,8372.0,86.51,1284.0,13.27,9656.0,99.77,Feuil1
2024,السرس,11195.0,6020.0,53.77,2942.0,26.28,8962.0,80.05,Feuil1
2024,تاجروين,8273.0,6883.0,83.2,1226.0,14.82,8109.0,98.02,Feuil1
2024,القلعة الخصباء,4118.0,2290.0,55.61,1796.0,43.61,4086.0,99.22,Feuil1
2024,الساقية,11209.0,8249.0,73.59,2868.0,25.59,11117.0,99.18,Feuil1
2024,نبر + الطويرف,20502.0,13536.0,66.02,6003.0,29.28,19539.0,95.3,Feuil1
2024,المجموع,106198.0,65475.0,61.65,34845.0,32.81,100320.0,94.46,Feuil1
