annee,delegation,bovins_unite_femelle,ovins_unite_femelle,caprins_unite_femelle,camelides_unite_femelle,feuille
2022,Menzah,,,,,Feuil1
2022,Cité Khadhra,,,,,Feuil1
2022,Bardo,,,,,Feuil1
2022,Sejoumi,12.0,560.0,50.0,,Feuil1
2022,Ezzouhour,6.0,50.0,15.0,,Feuil1
2022,Hrairia,290.0,4360.0,200.0,,Feuil1
2022,Sidi Hassine,1955.0,7120.0,600.0,,Feuil1
2022,Ouardia,4.0,200.0,50.0,,Feuil1
2022,Kabaria,120.0,1560.0,120.0,,Feuil1
2022,Sidi El Bechir,,,,,Feuil1
2022,Jebel Jelloud,8.0,,,,Feuil1
2022,La Goulette,0.0,120.0,,,Feuil1
2022,Kram,60.0,440.0,25.0,4.0,Feuil1
2022,La marsa,471.0,880.0,115.0,8.0,Feuil1
2022,TOTAL,2950.0,15600.0,1200.0,12.0,Feuil1
2023,Carthage,0.0,150.0,,,Feuil1
2023,Medina,,,,,Feuil1
2023,Beb Bhar,,,,,Feuil1
2023,Beb Souika,,,,,Feuil1
2023,Omrane,10.0,160.0,25.0,,Feuil1
2023,Omrane Supérieur,,,,,Feuil1
2023,Ettahrir,6.0,,,,Feuil1
2023,Menzah,,,,,Feuil1
2023,Cité Khadhra,,,,,Feuil1
2023,Bardo,,,,,Feuil1
2023,Sejoumi,0.0,600.0,50.0,,Feuil1
2023,Ezzouhour,6.0,50.0,15.0,,Feuil1
2023,Hrairia,290.0,4400.0,200.0,,Feuil1
2023,Sidi Hassine,1915.0,7160.0,585.0,,Feuil1
2023,Ouardia,4.0,200.0,50.0,,Feuil1
2023,Kabaria,100.0,1600.0,120.0,,Feuil1
2023,Sidi El Bechir,,,15.0,,Feuil1
2023,Jebel Jelloud,8.0,200.0,,,Feuil1
2023,La Goulette,17.0,160.0,,,Feuil1
2023,Kram,80.0,440.0,25.0,4.0,Feuil1
2023,La marsa,424.0,880.0,115.0,8.0,Feuil1
2023,TOTAL,2860.0,16000.0,1200.0,12.0,Feuil1
2024,Carthage,0.0,150.0,,,Feuil1
2024,Medina,,,,,Feuil1
2024,Beb Bhar,,,,,Feuil1
2024,Beb Souika,,,,,Feuil1
2024,Omrane,14.0,160.0,25.0,,Feuil1
2024,Omrane Supérieur,,,,,Feuil1
2024,Ettahrir,6.0,,,,Feuil1
2024,Menzah,,,,,Feuil1
2024,Cité Khadhra,,,,,Feuil1
2024,Bardo,,,,,Feuil1
2024,Sejoumi,0.0,600.0,50.0,,Feuil1
2024,Ezzouhour,4.0,50.0,15.0,,Feuil1
2024,Hrairia,288.0,4400.0,200.0,,Feuil1
2024,Sidi Hassine,1910.0,7160.0,585.0,,Feuil1
2024,Ouardia,0.0,200.0,50.0,,Feuil1
2024,Kabaria,80.0,1600.0,120.0,,Feuil1
2024,Sidi El Bechir,,,15.0,,Feuil1
2024,Jebel Jelloud,8.0,200.0,,,Feuil1
2024,La Goulette,16.0,160.0,,,Feuil1
2024,Kram,72.0,440.0,25.0,4.0,Feuil1
2024,La marsa,252.0,880.0,115.0,8.0,Feuil1
2024,TOTAL,2650.0,16000.0,1200.0,12.0,Feuil1
