annee,gouvernorat,production_tonne,feuille
2019,تونس,43.0,Feuil1
2019,أريانة,400.0,Feuil1
2019,منوبة,12000.0,Feuil1
2019,بن عروس,2080.0,Feuil1
2019,نابل,1200.0,Feuil1
2019,بنزرت,1120.0,Feuil1
2019,باجة,620.0,Feuil1
2019,جندوبة,394.0,Feuil1
2019,الكاف,90.0,Feuil1
2019,سليانة,450.0,Feuil1
2019,زغوان,249.0,Feuil1
2019,سوسة,126.0,Feuil1
2019,المنستير,137.0,Feuil1
2019,المهدية,67.0,Feuil1
2019,صفاقس,387.0,Feuil1
2019,القيروان,550.0,Feuil1
2019,القصرين,115.0,Feuil1
2019,سيدي بوزيد,104.0,Feuil1
2019,قفصة,173.0,Feuil1
2019,توزر,30.0,Feuil1
2019,قبلي,0.0,Feuil1
2019,قابس,500.0,Feuil1
2019,مدنين,30.0,Feuil1
2019,تطاوين,6.0,Feuil1
2018,تونس,49.8,Feuil1
2018,أريانة,212.0,Feuil1
2018,منوبة,3300.0,Feuil1
2018,بن عروس,2080.0,Feuil1
2018,نابل,938.0,Feuil1
2018,بنزرت,1120.0,Feuil1
2018,باجة,315.0,Feuil1
2018,جندوبة,403.2,Feuil1
2018,الكاف,80.0,Feuil1
2018,سليانة,1517.5,Feuil1
2018,زغوان,249.0,Feuil1
2018,سوسة,95.5,Feuil1
2018,المنستير,138.7,Feuil1
2018,المهدية,77.9,Feuil1
2018,صفاقس,283.5,Feuil1
2018,القيروان,630.0,Feuil1
2018,القصرين,60.0,Feuil1
2018,سيدي بوزيد,87.0,Feuil1
2018,قفصة,798.0,Feuil1
2018,توزر,37.0,Feuil1
2018,قبلي,0.0,Feuil1
2018,قابس,450.0,Feuil1
2018,مدنين,25.0,Feuil1
2018,تطاوين,10.0,Feuil1
2017,تونس,46.0,Feuil1
2017,أريانة,898.0,Feuil1
2017,منوبة,8500.0,Feuil1
2017,بن عروس,2240.0,Feuil1
2017,نابل,760.8,Feuil1
2017,بنزرت,1120.0,Feuil1
2017,باجة,520.0,Feuil1
2017,جندوبة,581.0,Feuil1
2017,الكاف,12.0,Feuil1
2017,سليانة,1580.0,Feuil1
2017,زغوان,520.0,Feuil1
2017,سوسة,2672.0,Feuil1
2017,المنستير,156.5,Feuil1
2017,المهدية,67.5,Feuil1
2017,صفاقس,382.75,Feuil1
2017,القيروان,550.0,Feuil1
2017,القصرين,90.0,Feuil1
2017,سيدي بوزيد,97.0,Feuil1
2017,قفصة,798.0,Feuil1
2017,توزر,34.5,Feuil1
2017,قبلي,0.0,Feuil1
2017,قابس,360.0,Feuil1
2017,مدنين,22.0,Feuil1
2017,تطاوين,10.0,Feuil1
2016,تونس,43.0,Feuil1
2016,أريانة,642.0,Feuil1
2016,منوبة,6420.0,Feuil1
2016,بن عروس,1900.0,Feuil1
2016,نابل,1087.0,Feuil1
2016,بنزرت,918.0,Feuil1
2016,باجة,780.0,Feuil1
2016,جندوبة,835.0,Feuil1
2016,الكاف,20.0,Feuil1
2016,سليانة,1580.0,Feuil1
2016,زغوان,365.0,Feuil1
2016,سوسة,100.0,Feuil1
2016,المنستير,110.0,Feuil1
2016,المهدية,31.0,Feuil1
2016,صفاقس,378.0,Feuil1
2016,القيروان,540.0,Feuil1
2016,القصرين,60.0,Feuil1
2016,سيدي بوزيد,61.0,Feuil1
2016,قفصة,558.0,Feuil1
2016,توزر,20.5,Feuil1
2016,قبلي,0.0,Feuil1
2016,قابس,400.0,Feuil1
2016,مدنين,18.0,Feuil1
2016,تطاوين,8.0,Feuil1
2015,تونس,48.6,Feuil1
2015,أريانة,675.0,Feuil1
2015,منوبة,8000.0,Feuil1
2015,بن عروس,2400.0,Feuil1
2015,نابل,1270.0,Feuil1
2015,بنزرت,1600.0,Feuil1
2015,باجة,1325.0,Feuil1
2015,جندوبة,750.0,Feuil1
2015,الكاف,400.0,Feuil1
2015,سليانة,4200.0,Feuil1
2015,زغوان,430.0,Feuil1
2015,سوسة,119.0,Feuil1
2015,المنستير,295.0,Feuil1
2015,المهدية,104.5,Feuil1
2015,صفاقس,515.0,Feuil1
2015,القيروان,580.0,Feuil1
2015,القصرين,50.0,Feuil1
2015,سيدي بوزيد,57.0,Feuil1
2015,قفصة,798.0,Feuil1
2015,توزر,32.5,Feuil1
2015,قبلي,0.0,Feuil1
2015,قابس,660.0,Feuil1
2015,مدنين,17.0,Feuil1
2015,تطاوين,10.0,Feuil1
2014,تونس,60.0,Feuil1
2014,أريانة,1163.0,Feuil1
2014,منوبة,0.0,Feuil1
2014,بن عروس,1639.0,Feuil1
2014,نابل,199.0,Feuil1
2014,بنزرت,2948.0,Feuil1
2014,باجة,750.0,Feuil1
2014,جندوبة,850.0,Feuil1
2014,الكاف,1400.0,Feuil1
2014,سليانة,4200.0,Feuil1
2014,زغوان,850.0,Feuil1
2014,سوسة,210.0,Feuil1
2014,المنستير,300.0,Feuil1
2014,المهدية,98.0,Feuil1
2014,صفاقس,153.0,Feuil1
2014,القيروان,650.0,Feuil1
2014,القصرين,65.0,Feuil1
2014,سيدي بوزيد,78.0,Feuil1
2014,قفصة,619.0,Feuil1
2014,توزر,16.0,Feuil1
2014,قبلي,0.0,Feuil1
2014,قابس,800.0,Feuil1
2014,مدنين,12.0,Feuil1
2014,تطاوين,5.0,Feuil1
2013,تونس,64.5,Feuil1
2013,أريانة,1955.0,Feuil1
2013,منوبة,18000.0,Feuil1
2013,بن عروس,6200.0,Feuil1
2013,نابل,1500.0,Feuil1
2013,بنزرت,9600.0,Feuil1
2013,باجة,2300.0,Feuil1
2013,جندوبة,606.0,Feuil1
2013,الكاف,644.0,Feuil1
2013,سليانة,3500.0,Feuil1
2013,زغوان,420.0,Feuil1
2013,سوسة,190.0,Feuil1
2013,المنستير,287.0,Feuil1
2013,المهدية,40.0,Feuil1
2013,صفاقس,61.0,Feuil1
2013,القيروان,950.0,Feuil1
2013,القصرين,65.0,Feuil1
2013,سيدي بوزيد,30.0,Feuil1
2013,قفصة,671.0,Feuil1
2013,توزر,20.0,Feuil1
