annee,gouvernorat,sup_ha,feuille
2019,تونس,10.0,Feuil1
2019,أريانة,50.0,Feuil1
2019,منوبة,1100.0,Feuil1
2019,بن عروس,130.0,Feuil1
2019,نابل,125.0,Feuil1
2019,بنزرت,200.0,Feuil1
2019,باجة,55.0,Feuil1
2019,جندوبة,45.5,Feuil1
2019,الكاف,40.0,Feuil1
2019,سليانة,99.0,Feuil1
2019,زغوان,36.0,Feuil1
2019,سوسة,42.0,Feuil1
2019,المنستير,140.0,Feuil1
2019,المهدية,95.0,Feuil1
2019,صفاقس,158.0,Feuil1
2019,القيروان,300.0,Feuil1
2019,القصرين,40.0,Feuil1
2019,سيدي بوزيد,30.0,Feuil1
2019,قفصة,150.0,Feuil1
2019,توزر,0.0,Feuil1
2019,قبلي,0.0,Feuil1
2019,قابس,80.0,Feuil1
2019,مدنين,35.0,Feuil1
2019,تطاوين,4.75,Feuil1
2018,تونس,10.0,Feuil1
2018,أريانة,50.0,Feuil1
2018,منوبة,1100.0,Feuil1
2018,بن عروس,130.0,Feuil1
2018,نابل,139.5,Feuil1
2018,بنزرت,200.0,Feuil1
2018,باجة,55.0,Feuil1
2018,جندوبة,45.5,Feuil1
2018,الكاف,38.0,Feuil1
2018,سليانة,99.0,Feuil1
2018,زغوان,36.05,Feuil1
2018,سوسة,40.0,Feuil1
2018,المنستير,137.8,Feuil1
2018,المهدية,93.0,Feuil1
2018,صفاقس,154.0,Feuil1
2018,القيروان,298.0,Feuil1
2018,القصرين,30.0,Feuil1
2018,سيدي بوزيد,35.0,Feuil1
2018,قفصة,182.0,Feuil1
2018,توزر,0.0,Feuil1
2018,قبلي,0.0,Feuil1
2018,قابس,80.0,Feuil1
2018,مدنين,28.0,Feuil1
2018,تطاوين,5.25,Feuil1
2017,تونس,10.0,Feuil1
2017,أريانة,108.75,Feuil1
2017,منوبة,1100.0,Feuil1
2017,بن عروس,140.0,Feuil1
2017,نابل,137.0,Feuil1
2017,بنزرت,200.0,Feuil1
2017,باجة,70.0,Feuil1
2017,جندوبة,119.0,Feuil1
2017,الكاف,30.0,Feuil1
2017,سليانة,100.0,Feuil1
2017,زغوان,75.35,Feuil1
2017,سوسة,40.0,Feuil1
2017,المنستير,151.7,Feuil1
2017,المهدية,89.5,Feuil1
2017,صفاقس,149.5,Feuil1
2017,القيروان,288.0,Feuil1
2017,القصرين,20.0,Feuil1
2017,سيدي بوزيد,55.0,Feuil1
2017,قفصة,182.0,Feuil1
2017,توزر,0.0,Feuil1
2017,قبلي,0.0,Feuil1
2017,قابس,80.0,Feuil1
2017,مدنين,25.0,Feuil1
2017,تطاوين,5.5,Feuil1
2016,تونس,10.0,Feuil1
2016,أريانة,124.0,Feuil1
2016,منوبة,1100.0,Feuil1
2016,بن عروس,148.0,Feuil1
2016,نابل,144.5,Feuil1
2016,بنزرت,200.0,Feuil1
2016,باجة,90.0,Feuil1
2016,جندوبة,140.0,Feuil1
2016,الكاف,45.0,Feuil1
2016,سليانة,100.0,Feuil1
2016,زغوان,62.0,Feuil1
2016,سوسة,40.0,Feuil1
2016,المنستير,152.0,Feuil1
2016,المهدية,85.0,Feuil1
2016,صفاقس,147.0,Feuil1
2016,القيروان,298.0,Feuil1
2016,القصرين,19.0,Feuil1
2016,سيدي بوزيد,65.0,Feuil1
2016,قفصة,177.0,Feuil1
2016,توزر,0.0,Feuil1
2016,قبلي,0.0,Feuil1
2016,قابس,85.0,Feuil1
2016,مدنين,25.0,Feuil1
2016,تطاوين,6.0,Feuil1
2015,تونس,10.0,Feuil1
2015,أريانة,169.0,Feuil1
2015,منوبة,2330.0,Feuil1
2015,بن عروس,160.0,Feuil1
2015,نابل,160.5,Feuil1
2015,بنزرت,350.0,Feuil1
2015,باجة,130.0,Feuil1
2015,جندوبة,140.0,Feuil1
2015,الكاف,280.0,Feuil1
2015,سليانة,350.0,Feuil1
2015,زغوان,86.6,Feuil1
2015,سوسة,40.0,Feuil1
2015,المنستير,227.0,Feuil1
2015,المهدية,101.5,Feuil1
2015,صفاقس,145.0,Feuil1
2015,القيروان,287.0,Feuil1
2015,القصرين,19.0,Feuil1
2015,سيدي بوزيد,55.0,Feuil1
2015,قفصة,177.0,Feuil1
2015,توزر,20.0,Feuil1
2015,قبلي,0.0,Feuil1
2015,قابس,83.0,Feuil1
2015,مدنين,22.0,Feuil1
2015,تطاوين,6.0,Feuil1
2014,تونس,8.0,Feuil1
2014,أريانة,247.0,Feuil1
2014,منوبة,3500.0,Feuil1
2014,بن عروس,400.0,Feuil1
2014,نابل,223.0,Feuil1
2014,بنزرت,603.0,Feuil1
2014,باجة,325.0,Feuil1
2014,جندوبة,140.0,Feuil1
2014,الكاف,280.0,Feuil1
2014,سليانة,350.0,Feuil1
2014,زغوان,130.0,Feuil1
2014,سوسة,66.0,Feuil1
2014,المنستير,297.0,Feuil1
2014,المهدية,84.0,Feuil1
2014,صفاقس,61.0,Feuil1
2014,القيروان,281.0,Feuil1
2014,القصرين,19.0,Feuil1
2014,سيدي بوزيد,52.0,Feuil1
2014,قفصة,197.0,Feuil1
2014,توزر,0.0,Feuil1
2014,قبلي,0.0,Feuil1
2014,قابس,80.0,Feuil1
2014,مدنين,21.0,Feuil1
2014,تطاوين,0.0,Feuil1
2013,تونس,10.0,Feuil1
2013,أريانة,283.0,Feuil1
2013,منوبة,2837.0,Feuil1
2013,بن عروس,975.0,Feuil1
2013,نابل,555.0,Feuil1
2013,بنزرت,1150.0,Feuil1
2013,باجة,310.0,Feuil1
2013,جندوبة,140.0,Feuil1
2013,الكاف,214.0,Feuil1
2013,سليانة,350.0,Feuil1
2013,زغوان,250.0,Feuil1
2013,سوسة,78.0,Feuil1
2013,المنستير,328.0,Feuil1
2013,المهدية,172.0,Feuil1
2013,صفاقس,78.0,Feuil1
2013,القيروان,265.0,Feuil1
2013,القصرين,37.0,Feuil1
2013,سيدي بوزيد,50.0,Feuil1
2013,قفصة,175.0,Feuil1
2013,توزر,20.0,Feuil1
2013,قبلي,0.0,Feuil1
2013,قابس,125.0,Feuil1
2013,مدنين,57.0,Feuil1
2013,تطاوين,85.0,Feuil1
2012,تونس,10.0,Feuil1
2012,أريانة,283.0,Feuil1
2012,منوبة,2820.0,Feuil1
2012,بن عروس,975.0,Feuil1
2012,نابل,565.0,Feuil1
2012,بنزرت,1040.0,Feuil1
2012,باجة,290.0,Feuil1
2012,جندوبة,135.0,Feuil1
2012,الكاف,230.0,Feuil1
2012,سليانة,350.0,Feuil1
2012,زغوان,88.5,Feuil1
2012,سوسة,80.0,Feuil1
2012,المنستير,333.0,Feuil1
2012,المهدية,165.0,Feuil1
2012,صفاقس,53.0,Feuil1
2012,القيروان,268.0,Feuil1
2012,القصرين,19.0,Feuil1
2012,سيدي بوزيد,50.0,Feuil1
2012,قفصة,178.0,Feuil1
2012,توزر,25.0,Feuil1
2012,قبلي,0.0,Feuil1
2012,قابس,140.0,Feuil1
2012,مدنين,30.0,Feuil1
2012,تطاوين,12.0,Feuil1
2011,تونس,10.0,Feuil1
2011,أريانة,283.0,Feuil1
2011,منوبة,2820.0,Feuil1
2011,بن عروس,975.0,Feuil1
2011,نابل,555.0,Feuil1
2011,بنزرت,1050.0,Feuil1
2011,باجة,310.0,Feuil1
2011,جندوبة,140.0,Feuil1
2011,الكاف,225.0,Feuil1
2011,سليانة,350.0,Feuil1
2011,زغوان,250.0,Feuil1
2011,سوسة,78.0,Feuil1
2011,المنستير,328.0,Feuil1
2011,المهدية,172.0,Feuil1
2011,صفاقس,78.0,Feuil1
2011,القيروان,266.0,Feuil1
2011,القصرين,20.0,Feuil1
2011,سيدي بوزيد,50.0,Feuil1
2011,قفصة,180.0,Feuil1
2011,توزر,25.0,Feuil1
2011,قبلي,0.0,Feuil1
2011,قابس,140.0,Feuil1
2011,مدنين,30.0,Feuil1
2011,تطاوين,18.0,Feuil1
2010,تونس,10.0,Feuil1
2010,أريانة,283.0,Feuil1
2010,منوبة,2837.0,Feuil1
2010,بن عروس,975.0,Feuil1
2010,نابل,555.0,Feuil1
2010,بنزرت,1150.0,Feuil1
2010,باجة,310.0,Feuil1
2010,جندوبة,140.0,Feuil1
2010,الكاف,214.0,Feuil1
2010,سليانة,350.0,Feuil1
2010,زغوان,250.0,Feuil1
2010,سوسة,78.0,Feuil1
2010,المنستير,328.0,Feuil1
2010,المهدية,172.0,Feuil1
2010,صفاقس,78.0,Feuil1
2010,القيروان,265.0,Feuil1
2010,القصرين,37.0,Feuil1
2010,سيدي بوزيد,50.0,Feuil1
2010,قفصة,175.0,Feuil1
2010,توزر,20.0,Feuil1
2010,قبلي,0.0,Feuil1
2010,قابس,125.0,Feuil1
2010,مدنين,57.0,Feuil1
2010,تطاوين,85.0,Feuil1
