annee,delegation,ruche_dabeille_moderne,ruche_dabeille_traditionelle,equins,caprins,ovins,bovin_race_locale_croise,bovin_race_pure,feuille
2021,Jendouba,21250.0,3700.0,1600.0,0.0,1500.0,,,effectif cheptel
2021,Jendouba Nord,20200.0,6500.0,1050.0,0.0,1700.0,,,effectif cheptel
2021,bousalem,20500.0,2700.0,1100.0,0.0,1900.0,,,effectif cheptel
2021,Baltabouauen,21600.0,3000.0,1540.0,0.0,3700.0,,,effectif cheptel
2021,Tabarka,12450.0,12400.0,1040.0,0.0,1300.0,,,effectif cheptel
2021,Aïn Draham,22000.0,15000.0,1530.0,0.0,1750.0,,,effectif cheptel
2021,Fernana,22500.0,11000.0,1040.0,0.0,2050.0,,,effectif cheptel
2021,Ghardimaou,24500.0,13600.0,1550.0,0.0,1200.0,,,effectif cheptel
2021,Oued Mliz,25000.0,7100.0,1050.0,0.0,900.0,,,effectif cheptel
2022,Jendouba,,,,,,,,effectif cheptel
2022,Jendouba Nord,,,,,,,,effectif cheptel
2022,bousalem,,,,,,,,effectif cheptel
2022,Baltabouauen,,,,,,,,effectif cheptel
2022,Tabarka,,,,,,,,effectif cheptel
2022,Aïn Draham,,,,,,,,effectif cheptel
2022,Fernana,,,,,,,,effectif cheptel
2022,Ghardimaou,,,,,,,,effectif cheptel
2022,Oued Mliz,,,,,,,,effectif cheptel
2023,Jendouba,4050.0,3500.0,23250.0,3700.0,1500.0,0.0,700.0,effectif cheptel
2023,Jendouba Nord,3000.0,4600.0,22200.0,6500.0,1000.0,0.0,1800.0,effectif cheptel
2023,bousalem,8600.0,2300.0,25500.0,800.0,1000.0,0.0,1200.0,effectif cheptel
2023,Baltabouauen,6500.0,4800.0,24600.0,3000.0,1500.0,0.0,900.0,effectif cheptel
2023,Tabarka,350.0,5350.0,12450.0,12400.0,1000.0,0.0,2000.0,effectif cheptel
2023,Aïn Draham,100.0,1000.0,22000.0,15000.0,1500.0,0.0,1500.0,effectif cheptel
2023,Fernana,1000.0,5000.0,27500.0,12000.0,1000.0,0.0,2400.0,effectif cheptel
2023,Ghardimaou,500.0,1050.0,26500.0,14500.0,1500.0,0.0,2300.0,effectif cheptel
2023,Oued Mliz,900.0,2400.0,26000.0,7100.0,1000.0,0.0,1200.0,effectif cheptel
2024,Jendouba,602.0,0.0,1100.0,3745.0,21000.0,3100.0,5150.0,effectif cheptel
2024,Jendouba Nord,1500.0,0.0,1550.0,6500.0,22450.0,3300.0,3000.0,effectif cheptel
2024,bousalem,1020.0,0.0,1100.0,800.0,17500.0,3800.0,9900.0,effectif cheptel
2024,Baltabouauen,750.0,0.0,1540.0,3000.0,21600.0,3000.0,5000.0,effectif cheptel
2024,Tabarka,1890.0,0.0,1040.0,12400.0,11450.0,4600.0,350.0,effectif cheptel
2024,Aïn Draham,1200.0,0.0,1530.0,15500.0,19000.0,1300.0,100.0,effectif cheptel
2024,Fernana,2209.0,227.0,6188.0,11517.0,55488.0,7089.0,2124.0,effectif cheptel
2024,Ghardimaou,1885.0,0.0,1550.0,14500.0,25500.0,900.0,500.0,effectif cheptel
2024,Oued Mliz,950.0,0.0,1050.0,7200.0,17000.0,2000.0,900.0,effectif cheptel
