annee,societe,ble_dur_q,ble_tendre_q,orge_q,tritical_q,total,feuille
2022,% التجميع / الإنتاج,0.498,0.277,0.164,0.011,0.349,Feuil1
2023,الشركة التعاونية المركزية للزراعات الكبرى,1268.2,64.2,214.4,0,1546.8,Feuil1
2023,الشركة التعاونية المركزية للقمح,120.4,0.0,0.0,0,120.4,Feuil1
2023,مجمع الخدمات الفلاحية المتعددة,0.0,0.0,0.0,0,0.0,Feuil1
2023,مجمع الحبوب للشمال,141.2,0.0,0.0,0,141.2,Feuil1
2023,الشركة التونسية للأنشطة الفلاحية,705.4,0.0,0.0,0,705.4,Feuil1
2023,مصرف الخدمات الفلاحية المتعددة,0.0,0.0,0.0,0,0.0,Feuil1
2023,شركة النوالي,0.0,0.0,0.0,0,0.0,Feuil1
2023,شركة إيهاب,0.0,0.0,0.0,0,0.0,Feuil1
2023,الشركة السعيدي لتجميع الحبوب,0.0,0.0,0.0,0,0.0,Feuil1
2023,مركز مصوج لتجميع الحبوب,0.0,0.0,0.0,0,0.0,Feuil1
2023,مجموع الحبوب المجمعة,2235.2,64.2,214.4,0,2513.8,Feuil1
2023,الإنتاج,22950.0,1550.0,25820.0,0,50320.0,Feuil1
2023,% التجميع / الإنتاج,0.1,0.04,0.01,,0.05,Feuil1
2024,الشركة التعاونية المركزية للزراعات الكبرى,95714.8,643.6,39571.8,0,135930.2,Feuil1
2024,الشركة التعاونية المركزية للقمح,62311.4,2224.0,34643.4,0,99178.8,Feuil1
2024,مجمع الخدمات الفلاحية المتعددة,28914.6,90.2,17036.8,0,46041.6,Feuil1
2024,مجمع الحبوب للشمال,24318.6,2308.4,5676.6,0,32303.6,Feuil1
2024,الشركة التونسية للأنشطة الفلاحية,25366.6,549.8,6332.4,0,32248.8,Feuil1
2024,مصرف الخدمات الفلاحية المتعددة,84089.0,4137.0,44637.2,335.4,133198.6,Feuil1
2024,شركة النوالي,4431.8,0.0,7514.6,0,11946.4,Feuil1
2024,شركة إيهاب,9051.0,0.0,3639.8,0,12690.8,Feuil1
2024,الشركة السعيدي لتجميع الحبوب,33240.8,201.6,14985.0,0,48041.6,Feuil1
2024,مركز مصوج لتجميع الحبوب,5013.4,0.0,1272.0,0,6285.4,Feuil1
2024,مجموع الحبوب المجمعة,368020.2,10154.6,167795.0,335.4,546305.2,Feuil1
2024,الإنتاج,665444.0,25945.0,414530.0,3740,1109659.0,Feuil1
2024,% التجميع / الإنتاج,0.55,0.39,0.4,8.97,0.49,Feuil1
